NUMT_ID	Bonobo	Chimpanzee	Human	Gorilla	Sorang	Borang	Catherine	Hermien	Hortense	Kombote	Natalie	Desmond
mPanPan1_numt350	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1	1	1
mPanPan1_numt351	1	1	0	0	0	0	0	1	1	1	1	1
mPanPan1_numt352	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt353	1	0	0	0	0	0	1	1	1	1	1	1
mPanPan1_numt354	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt355	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt356	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt357	1	1	0	1	0	0	1	1	1	1	1	1
mPanPan1_numt358	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt359	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt360	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt361	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt362	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt363	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt364	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt365	1	1	1	0	0	0	1	1	0	1	1	1
mPanPan1_numt366	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt367	1	1	1	0	0	0	1	1	0	1	1	1
mPanPan1_numt368	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt369	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt370	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt371	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt372	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt373	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt374	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt375	1	1	1	0	0	1	1	1	1	1	1	1
mPanPan1_numt376	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt377	1	1	1	0	1	1	1	1	1	1	1	1
mPanPan1_numt378	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt379	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt380	1	1	1	0	0	0	1	1	1	1	1	0
mPanPan1_numt381	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt382	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt383	1	1	1	0	0	0	1	1	1	1	1	1
mPanPan1_numt384	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt385	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt386	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt387	1	1	1	1	1	1	1	1	1	1	1	1
mPanPan1_numt388	1	1	1	1	0	0	1	1	1	1	1	1
mPanPan1_numt389	1	1	1	1	1	1	1	1	1	1	1	1
