Query_Species	Query_NUMT	DB_Species	Matches_NUMT
CHM13	CHM13_numt17	mPanPan1	mPanPan1_numt307
CHM13	CHM13_numt17	mPanPan1	mPanPan1_numt308
CHM13	CHM13_numt17	mPanTro3	mPanTro3_numt307
CHM13	CHM13_numt17	mPanTro3	mPanTro3_numt308
CHM13	CHM13_numt17	mPanTro3	mPanTro3_numt309
CHM13	CHM13_numt17	mPonAbe1	mPonAbe1_numt285
CHM13	CHM13_numt17	mPonAbe1	mPonAbe1_numt286
CHM13	CHM13_numt17	mPonAbe1	mPonAbe1_numt287
CHM13	CHM13_numt17	mPonPyg2	mPonPyg2_numt293
CHM13	CHM13_numt17	mPonPyg2	mPonPyg2_numt294
CHM13	CHM13_numt18	mGorGor1	mGorGor1_numt266
CHM13	CHM13_numt18	mGorGor1	mGorGor1_numt267
CHM13	CHM13_numt18	mPanPan1	mPanPan1_numt306
CHM13	CHM13_numt18	mPanPan1	mPanPan1_numt307
CHM13	CHM13_numt18	mPanPan1	mPanPan1_numt308
CHM13	CHM13_numt18	mPanTro3	mPanTro3_numt307
CHM13	CHM13_numt18	mPanTro3	mPanTro3_numt308
CHM13	CHM13_numt18	mPanTro3	mPanTro3_numt309
CHM13	CHM13_numt18	mPonAbe1	mPonAbe1_numt285
CHM13	CHM13_numt18	mPonAbe1	mPonAbe1_numt286
CHM13	CHM13_numt18	mPonAbe1	mPonAbe1_numt287
CHM13	CHM13_numt18	mPonPyg2	mPonPyg2_numt293
CHM13	CHM13_numt18	mPonPyg2	mPonPyg2_numt294
CHM13	CHM13_numt19	mGorGor1	mGorGor1_numt264
CHM13	CHM13_numt19	mGorGor1	mGorGor1_numt265
CHM13	CHM13_numt19	mPanPan1	mPanPan1_numt304
CHM13	CHM13_numt19	mPanPan1	mPanPan1_numt305
CHM13	CHM13_numt19	mPanPan1	mPanPan1_numt306
CHM13	CHM13_numt19	mPanTro3	mPanTro3_numt305
CHM13	CHM13_numt19	mPanTro3	mPanTro3_numt306
CHM13	CHM13_numt19	mPanTro3	mPanTro3_numt307
CHM13	CHM13_numt19	mPonAbe1	mPonAbe1_numt283
CHM13	CHM13_numt19	mPonAbe1	mPonAbe1_numt284
CHM13	CHM13_numt19	mPonPyg2	mPonPyg2_numt291
CHM13	CHM13_numt19	mPonPyg2	mPonPyg2_numt292
CHM13	CHM13_numt20	mGorGor1	mGorGor1_numt264
CHM13	CHM13_numt20	mGorGor1	mGorGor1_numt265
CHM13	CHM13_numt20	mPanPan1	mPanPan1_numt304
CHM13	CHM13_numt20	mPanPan1	mPanPan1_numt305
CHM13	CHM13_numt20	mPanTro3	mPanTro3_numt305
CHM13	CHM13_numt20	mPanTro3	mPanTro3_numt306
CHM13	CHM13_numt20	mPonAbe1	mPonAbe1_numt283
CHM13	CHM13_numt20	mPonAbe1	mPonAbe1_numt284
CHM13	CHM13_numt20	mPonPyg2	mPonPyg2_numt291
CHM13	CHM13_numt20	mPonPyg2	mPonPyg2_numt292
CHM13	CHM13_numt21	mGorGor1	mGorGor1_numt263
CHM13	CHM13_numt21	mPanPan1	mPanPan1_numt303
CHM13	CHM13_numt21	mPanTro3	mPanTro3_numt304
CHM13	CHM13_numt21	mPonAbe1	mPonAbe1_numt282
CHM13	CHM13_numt21	mPonPyg2	mPonPyg2_numt290
CHM13	CHM13_numt22	mGorGor1	mGorGor1_numt262
CHM13	CHM13_numt22	mPanPan1	mPanPan1_numt302
CHM13	CHM13_numt22	mPanTro3	mPanTro3_numt303
CHM13	CHM13_numt22	mPonAbe1	mPonAbe1_numt280
CHM13	CHM13_numt22	mPonPyg2	mPonPyg2_numt288
CHM13	CHM13_numt24	mPanPan1	mPanPan1_numt298
CHM13	CHM13_numt24	mPanTro3	mPanTro3_numt299
CHM13	CHM13_numt24	mPonAbe1	mPonAbe1_numt278
CHM13	CHM13_numt24	mPonPyg2	mPonPyg2_numt286
CHM13	CHM13_numt25	mGorGor1	mGorGor1_numt40
CHM13	CHM13_numt25	mGorGor1	mGorGor1_numt41
CHM13	CHM13_numt25	mGorGor1	mGorGor1_numt85
CHM13	CHM13_numt25	mGorGor1	mGorGor1_numt86
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt43
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt44
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt74
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt75
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt79
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt80
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt174
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt175
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt177
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt178
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt200
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt199
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt203
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt204
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt218
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt219
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt220
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt238
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt239
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt359
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt360
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt361
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt365
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt366
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt381
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt382
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt771
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt772
CHM13	CHM13_numt25	mPanPan1	mPanPan1_numt773
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt41
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt42
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt69
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt70
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt71
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt74
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt75
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt170
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt171
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt173
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt174
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt179
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt178
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt200
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt201
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt215
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt216
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt217
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt354
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt355
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt361
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt362
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt363
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt364
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt366
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt367
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt383
CHM13	CHM13_numt25	mPanTro3	mPanTro3_numt384
CHM13	CHM13_numt25	mPonAbe1	mPonAbe1_numt84
CHM13	CHM13_numt25	mPonAbe1	mPonAbe1_numt83
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt39
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt40
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt41
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt85
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt86
CHM13	CHM13_numt26	mGorGor1	mGorGor1_numt87
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt42
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt43
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt44
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt74
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt75
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt76
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt78
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt79
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt80
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt174
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt175
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt176
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt177
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt178
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt179
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt200
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt201
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt199
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt202
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt203
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt204
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt219
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt220
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt221
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt238
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt239
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt240
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt358
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt359
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt360
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt365
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt366
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt367
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt381
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt382
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt383
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt772
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt773
CHM13	CHM13_numt26	mPanPan1	mPanPan1_numt774
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt40
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt41
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt42
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt70
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt71
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt72
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt74
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt75
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt76
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt170
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt172
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt171
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt173
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt174
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt175
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt177
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt179
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt178
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt200
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt201
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt202
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt216
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt217
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt218
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt353
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt354
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt355
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt360
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt361
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt362
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt363
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt364
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt365
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt366
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt367
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt368
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt383
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt384
CHM13	CHM13_numt26	mPanTro3	mPanTro3_numt385
CHM13	CHM13_numt27	mGorGor1	mGorGor1_numt39
CHM13	CHM13_numt27	mGorGor1	mGorGor1_numt40
CHM13	CHM13_numt27	mGorGor1	mGorGor1_numt86
CHM13	CHM13_numt27	mGorGor1	mGorGor1_numt87
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt42
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt43
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt75
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt76
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt78
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt79
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt175
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt176
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt178
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt179
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt200
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt201
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt202
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt203
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt220
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt221
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt239
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt240
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt358
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt359
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt366
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt367
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt382
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt383
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt773
CHM13	CHM13_numt27	mPanPan1	mPanPan1_numt774
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt40
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt41
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt71
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt72
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt75
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt76
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt172
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt171
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt174
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt175
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt177
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt178
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt201
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt202
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt217
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt218
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt353
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt354
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt360
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt361
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt364
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt365
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt367
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt368
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt384
CHM13	CHM13_numt27	mPanTro3	mPanTro3_numt385
CHM13	CHM13_numt29	mPanPan1	mPanPan1_numt297
CHM13	CHM13_numt29	mPanTro3	mPanTro3_numt298
CHM13	CHM13_numt30	mGorGor1	mGorGor1_numt253
CHM13	CHM13_numt30	mPanPan1	mPanPan1_numt296
CHM13	CHM13_numt30	mPanTro3	mPanTro3_numt296
CHM13	CHM13_numt30	mPonAbe1	mPonAbe1_numt277
CHM13	CHM13_numt30	mPonPyg2	mPonPyg2_numt284
CHM13	CHM13_numt30	mSymSyn1	(not_in_v1)
CHM13	CHM13_numt31	mGorGor1	mGorGor1_numt252
CHM13	CHM13_numt31	mPanPan1	mPanPan1_numt295
CHM13	CHM13_numt31	mPanTro3	mPanTro3_numt295
CHM13	CHM13_numt31	mPonAbe1	mPonAbe1_numt274
CHM13	CHM13_numt31	mPonPyg2	mPonPyg2_numt282
CHM13	CHM13_numt32	mGorGor1	(not_in_v1)
CHM13	CHM13_numt32	mPanPan1	mPanPan1_numt293
CHM13	CHM13_numt32	mPanTro3	mPanTro3_numt293
CHM13	CHM13_numt32	mPonAbe1	mPonAbe1_numt273
CHM13	CHM13_numt32	mPonPyg2	mPonPyg2_numt281
CHM13	CHM13_numt33	mGorGor1	mGorGor1_numt251
CHM13	CHM13_numt33	mPanPan1	mPanPan1_numt292
CHM13	CHM13_numt33	mPanTro3	mPanTro3_numt292
CHM13	CHM13_numt33	mPonAbe1	mPonAbe1_numt272
CHM13	CHM13_numt33	mPonPyg2	mPonPyg2_numt280
CHM13	CHM13_numt34	mGorGor1	mGorGor1_numt250
CHM13	CHM13_numt34	mPanPan1	mPanPan1_numt291
CHM13	CHM13_numt34	mPanTro3	mPanTro3_numt290
CHM13	CHM13_numt34	mPonAbe1	mPonAbe1_numt270
CHM13	CHM13_numt34	mPonPyg2	mPonPyg2_numt277
CHM13	CHM13_numt35	mGorGor1	mGorGor1_numt249
CHM13	CHM13_numt35	mPanPan1	mPanPan1_numt289
CHM13	CHM13_numt35	mPanTro3	mPanTro3_numt289
CHM13	CHM13_numt35	mPonAbe1	mPonAbe1_numt269
CHM13	CHM13_numt35	mPonPyg2	mPonPyg2_numt276
CHM13	CHM13_numt37	mGorGor1	mGorGor1_numt245
CHM13	CHM13_numt37	mPanPan1	mPanPan1_numt288
CHM13	CHM13_numt37	mPanTro3	mPanTro3_numt288
CHM13	CHM13_numt37	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt37	mPonPyg2	mPonPyg2_numt275
CHM13	CHM13_numt38	mGorGor1	mGorGor1_numt248
CHM13	CHM13_numt38	mPanPan1	mPanPan1_numt287
CHM13	CHM13_numt38	mPanTro3	mPanTro3_numt286
CHM13	CHM13_numt38	mPonAbe1	mPonAbe1_numt268
CHM13	CHM13_numt38	mPonPyg2	mPonPyg2_numt274
CHM13	CHM13_numt39	mGorGor1	mGorGor1_numt240
CHM13	CHM13_numt39	mPanPan1	mPanPan1_numt286
CHM13	CHM13_numt39	mPanTro3	mPanTro3_numt284
CHM13	CHM13_numt40	mGorGor1	mGorGor1_numt241
CHM13	CHM13_numt40	mPanPan1	mPanPan1_numt285
CHM13	CHM13_numt40	mPanTro3	mPanTro3_numt283
CHM13	CHM13_numt40	mPonAbe1	mPonAbe1_numt266
CHM13	CHM13_numt40	mPonPyg2	mPonPyg2_numt272
CHM13	CHM13_numt41	mGorGor1	mGorGor1_numt242
CHM13	CHM13_numt41	mPanPan1	mPanPan1_numt284
CHM13	CHM13_numt41	mPanTro3	mPanTro3_numt282
CHM13	CHM13_numt41	mPonAbe1	mPonAbe1_numt265
CHM13	CHM13_numt41	mPonPyg2	mPonPyg2_numt271
CHM13	CHM13_numt43	mGorGor1	mGorGor1_numt238
CHM13	CHM13_numt43	mPanPan1	mPanPan1_numt281
CHM13	CHM13_numt43	mPanTro3	mPanTro3_numt279
CHM13	CHM13_numt43	mPonAbe1	mPonAbe1_numt262
CHM13	CHM13_numt43	mPonPyg2	mPonPyg2_numt268
CHM13	CHM13_numt44	mGorGor1	mGorGor1_numt237
CHM13	CHM13_numt44	mPanPan1	(not_in_v1)
CHM13	CHM13_numt44	mPanTro3	(not_in_v1)
CHM13	CHM13_numt44	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt44	mPonPyg2	mPonPyg2_numt267
CHM13	CHM13_numt45	mGorGor1	(not_in_v1)
CHM13	CHM13_numt45	mPanPan1	mPanPan1_numt101
CHM13	CHM13_numt45	mPanTro3	(not_in_v1)
CHM13	CHM13_numt45	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt45	mPonPyg2	(not_in_v1)
CHM13	CHM13_numt46	mGorGor1	mGorGor1_numt114
CHM13	CHM13_numt46	mPanPan1	mPanPan1_numt100
CHM13	CHM13_numt46	mPanTro3	mPanTro3_numt92
CHM13	CHM13_numt46	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt46	mPonPyg2	(not_in_v1)
CHM13	CHM13_numt46	mSymSyn1	(not_in_v1)
CHM13	CHM13_numt47	mGorGor1	mGorGor1_numt113
CHM13	CHM13_numt47	mPanPan1	mPanPan1_numt98
CHM13	CHM13_numt47	mPanTro3	mPanTro3_numt91
CHM13	CHM13_numt47	mPonAbe1	(not_in_v1)
CHM13	CHM13_numt47	mPonPyg2	(not_in_v1)
CHM13	CHM13_numt48	mGorGor1	mGorGor1_numt111
