Assembly	NUMT_ID	Label	Values	Classification
mPanPan1	mPanPan1_numt605	100000	111111	Only 1s
mPanPan1	mPanPan1_numt634	100000	111111	Only 1s
mPanPan1	mPanPan1_numt635	100000	111111	Only 1s
mPanPan1	mPanPan1_numt654	100000	111111	Only 1s
mPanPan1	mPanPan1_numt655	100000	111111	Only 1s
mPanPan1	mPanPan1_numt675	100000	111011	Mostly 1s and one 0
mPanPan1	mPanPan1_numt707	100000	111111	Only 1s
mPanPan1	mPanPan1_numt711	100000	111111	Only 1s
mPanPan1	mPanPan1_numt716	100000	111111	Only 1s
mPanPan1	mPanPan1_numt732	100000	111111	Only 1s
mPanPan1	mPanPan1_numt733	100000	111111	Only 1s
mPanTro3	mPanTro3_numt15	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt20	010000	11111111111111111110	Mostly 1s and one 0
mPanTro3	mPanTro3_numt56	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt57	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt105	010000	11011111111101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt110	010000	10001111110010111101	Mix of 1s and 0s
mPanTro3	mPanTro3_numt111	010000	10001110000000111101	Mix of 1s and 0s
mPanTro3	mPanTro3_numt128	010000	11111110111001111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt131	010000	10001111010101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt136	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt157	010000	10111111111101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt159	010000	10111111111011111101	Mix of 1s and 0s
mPanTro3	mPanTro3_numt163	010000	nannannannannannannannannannannannannannannannannannannannan	Only 1s
mPanTro3	mPanTro3_numt164	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt165	010000	10001110110000111101	Mix of 1s and 0s
mPanTro3	mPanTro3_numt180	010000	10111111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt227	010000	11001011010100101111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt232	010000	10111010111011111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt233	010000	10111111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt242	010000	11011111111101111110	Mix of 1s and 0s
mPanTro3	mPanTro3_numt256	010000	10001111100101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt257	010000	10111111011111111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt285	010000	10011110011101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt291	010000	10111111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt317	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt318	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt351	010000	11111111110111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt370	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt391	010000	10111111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt397	010000	11111110111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt401	010000	10101110010101111100	Mix of 1s and 0s
mPanTro3	mPanTro3_numt407	010000	11011111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt412	010000	10001010010000101000	Mix of 1s and 0s
mPanTro3	mPanTro3_numt415	010000	11101110011001111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt447	010000	10111110011111111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt448	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt449	010000	nannannannannannannannannannannannannannannannannannannannan	Only 1s
mPanTro3	mPanTro3_numt450	010000	11101111010101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt467	010000	10001111111101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt476	010000	11011110010101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt484	010000	11011111011101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt499	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt506	010000	11101111011001101111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt507	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt512	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt514	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt522	010000	00000000000000000000	Only 0s
mPanTro3	mPanTro3_numt530	010000	nannannannannannannannannannannannannannannannannannannannan	Only 1s
mPanTro3	mPanTro3_numt531	010000	11111111011111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt533	010000	11001110110011111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt555	010000	11011111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt556	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt560	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt561	010000	11011111011111111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt616	010000	11111111111111111111	Only 1s
mPanTro3	mPanTro3_numt655	010000	11011111110111111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt658	010000	10011111011101111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt685	010000	10111110111111111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt703	010000	11101111111111111111	Mostly 1s and one 0
mPanTro3	mPanTro3_numt720	010000	11101110110111111110	Mix of 1s and 0s
mPanTro3	mPanTro3_numt721	010000	10011111011011111111	Mix of 1s and 0s
mPanTro3	mPanTro3_numt722	010000	10111111111111111111	Mostly 1s and one 0
CHM13	CHM13_numt1	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt2	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt3	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt4	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt5	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt6	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt7	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt8	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt9	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt10	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt11	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt12	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt13	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt14	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt15	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt16	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt17	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt18	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt19	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt20	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt21	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt22	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt28	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt29	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt30	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt31	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt32	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt33	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt34	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt35	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt36	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt43	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt44	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt45	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt46	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt47	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt48	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt49	001000	10110010010000010111011100101000010100110011	Mix of 1s and 0s
CHM13	CHM13_numt50	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt51	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt52	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt53	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt54	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt55	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt56	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt57	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt58	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt59	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt60	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt61	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt62	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt63	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt104	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt107	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt133	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt134	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt135	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt136	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt137	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt138	001000	11111111111111111111111111011111111111011111	Mix of 1s and 0s
CHM13	CHM13_numt139	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt140	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt141	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt142	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt143	001000	11111111111111111111111111011111111111011111	Mix of 1s and 0s
CHM13	CHM13_numt144	001000	11111111111111111111111111011111111111011111	Mix of 1s and 0s
CHM13	CHM13_numt145	001000	11111111111111111111111111011111111111011111	Mix of 1s and 0s
CHM13	CHM13_numt146	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt151	001000	11111011100110111111101111111110011011111010	Mix of 1s and 0s
CHM13	CHM13_numt164	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt195	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt203	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt204	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt205	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt211	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt212	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt213	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt214	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt215	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt216	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt217	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt218	001000	10111111101101110101011111111111111110011101	Mix of 1s and 0s
CHM13	CHM13_numt219	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt234	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt242	001000	11010000001000001000110000010000000001000000	Mix of 1s and 0s
CHM13	CHM13_numt249	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt251	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt266	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt269	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt270	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt290	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt318	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt337	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt343	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt374	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt381	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt388	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt391	001000	01000000000000000100000000000001000110001000	Mix of 1s and 0s
CHM13	CHM13_numt392	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt393	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt395	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt396	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt397	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt399	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt400	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt401	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt452	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt463	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt474	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt476	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt486	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt490	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt499	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt500	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt501	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt503	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt508	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt511	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt523	001000	10010000000101000001100011011101000110110010	Mix of 1s and 0s
CHM13	CHM13_numt529	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt533	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt545	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt546	001000	00000000000000000000000000000000000000000000	Only 0s
CHM13	CHM13_numt554	001000	00111111001111110110110011111010111111100011	Mix of 1s and 0s
CHM13	CHM13_numt558	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt566	001000	00100001101111011111100011110111000111011101	Mix of 1s and 0s
CHM13	CHM13_numt586	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt616	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt618	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt619	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt625	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt626	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt628	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt656	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt657	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt666	001000	10111111110100111111001011101011101110111001	Mix of 1s and 0s
CHM13	CHM13_numt670	001000	01101110000111111111001111101000011110111110	Mix of 1s and 0s
CHM13	CHM13_numt674	001000	00001111110010110111011111010111100110011101	Mix of 1s and 0s
CHM13	CHM13_numt688	001000	00000000000000000000000000000000001100000000	Mix of 1s and 0s
CHM13	CHM13_numt693	001000	00011101111111011101110110011111010011011111	Mix of 1s and 0s
CHM13	CHM13_numt700	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt705	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt716	001000	11111111111111111111111011111111111011110111	Mix of 1s and 0s
CHM13	CHM13_numt726	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt732	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt757	001000	11111111111111111111111111111111111111111111	Only 1s
CHM13	CHM13_numt770	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
CHM13	CHM13_numt772	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
CHM13	CHM13_numt773	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
CHM13	CHM13_numt774	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
CHM13	CHM13_numt775	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
CHM13	CHM13_numt780	001000	10010011101000001001101000011101000100000110	Mix of 1s and 0s
mGorGor1	mGorGor1_numt5	000100	1110111011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt8	000100	1111111010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt47	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt59	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt93	000100	1111111010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt104	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt105	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt106	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt107	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt108	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt109	000100	1111110111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt122	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt123	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt126	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt154	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt168	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt178	000100	1110110111	Mix of 1s and 0s
mGorGor1	mGorGor1_numt180	000100	1111011111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt182	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt191	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt198	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt209	000100	1111111010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt214	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt215	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt216	000100	1110111111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt220	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt225	000100	1111110110	Mix of 1s and 0s
mGorGor1	mGorGor1_numt227	000100	1111010111	Mix of 1s and 0s
mGorGor1	mGorGor1_numt230	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt231	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt232	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt233	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt234	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt235	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt236	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt239	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt246	000100	1111111110	Mostly 1s and one 0
mGorGor1	mGorGor1_numt247	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt255	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt257	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt258	000100	1111110011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt259	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt260	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt270	000100	1111011111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt277	000100	1111011111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt282	000100	1111111110	Mostly 1s and one 0
mGorGor1	mGorGor1_numt318	000100	1111011111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt320	000100	1110111011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt334	000100	1110110011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt338	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt383	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt384	000100	1110110010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt409	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt410	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt411	000100	1111011111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt413	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt425	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt426	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt427	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt428	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt429	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt430	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt431	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt432	000100	1111110010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt433	000100	1111010011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt439	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt441	000100	1110111011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt449	000100	1111111110	Mostly 1s and one 0
mGorGor1	mGorGor1_numt452	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt465	000100	1111110111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt483	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt515	000100	1100111101	Mix of 1s and 0s
mGorGor1	mGorGor1_numt527	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt535	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt536	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt537	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt538	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt539	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt540	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt541	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt542	000100	1110111111	Mostly 1s and one 0
mGorGor1	mGorGor1_numt543	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt544	000100	1111111110	Mostly 1s and one 0
mGorGor1	mGorGor1_numt545	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt546	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt547	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt548	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt549	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt550	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt552	000100	1110111110	Mix of 1s and 0s
mGorGor1	mGorGor1_numt553	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt554	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt555	000100	1111111111	Only 1s
mGorGor1	mGorGor1_numt556	000100	1111111110	Mostly 1s and one 0
mGorGor1	mGorGor1_numt557	000100	1111111011	Mostly 1s and one 0
mGorGor1	mGorGor1_numt576	000100	1110110010	Mix of 1s and 0s
mGorGor1	mGorGor1_numt584	000100	1111110011	Mix of 1s and 0s
mGorGor1	mGorGor1_numt585	000100	1101011110	Mix of 1s and 0s
mGorGor1	mGorGor1_numt592	000100	1111111011	Mostly 1s and one 0
