Species	Version	Assembly	Haplotype	Chrom	Species_Chrom	HSA	NUMT_Counts	Total_bp	Chrom_Size	Perc_chrom	Density_of_bp	Density_of_events
Bornean orangutan	T2T	mPonPyg2	alt	chr12_hap2_hsa2a	12	2a	26	11807	137696483	0.008574656187841777	8.574656187841776e-05	1.8882108993299414e-07
Chimpanzee	T2T	mPanTro3	alt	chr12_hap2_hsa2a	12	2a	31	14480	126935857	0.011407336226516358	0.00011407336226516358	2.442178335787342e-07
Gorilla	T2T	mGorGor1	alt	chr12_mat_hsa2a	12	2a	28	14130	151425642	0.009331312592354734	9.331312592354735e-05	1.849092374988907e-07
Siamang	T2T	mSymSyn1	alt	chr12_hap2	12	12	10	5237	135372066	0.0038685972333465015	3.868597233346501e-05	7.38704837377602e-08
Sumatran orangutan	T2T	mPonAbe1	alt	chr12_hap2_hsa2a	12	2a	27	12476	131851162	0.009462184337821764	9.462184337821763e-05	2.0477635229335333e-07
Bonobo	T2T	mPanPan1	alt	chr13_pat_hsa2b	13	2b	71	95891	147478900	0.0650201486449926	0.000650201486449926	4.814248004290783e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr13_hap2_hsa9	13	9	28	32318	129318742	0.024990963800127285	0.00024990963800127283	2.165192729759156e-07
Chimpanzee	T2T	mPanTro3	alt	chr13_hap2_hsa2b	13	2b	78	102184	140842815	0.07255180180827826	0.0007255180180827825	5.538088684183144e-07
Gorilla	T2T	mGorGor1	alt	chr13_mat_hsa9	13	9	38	50427	137287480	0.03673095317941592	0.00036730953179415924	2.767914452213705e-07
Siamang	T2T	mSymSyn1	alt	chr13_hap2	13	13	17	5154	130792326	0.003940598166286912	3.940598166286912e-05	1.299770446776824e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr13_hap2_hsa9	13	9	29	32574	124957153	0.02606813553122485	0.0002606813553122485	2.320795513002765e-07
Bonobo	T2T	mPanPan1	alt	chr14_mat_hsa13	14	13	23	12997	118002861	0.011014139733442565	0.00011014139733442564	1.949105284828645e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr14_hap2_hsa13	14	13	26	12192	121934749	0.009998790418636118	9.998790418636118e-05	2.1322879829768625e-07
Chimpanzee	T2T	mPanTro3	alt	chr14_hap2_hsa13	14	13	26	16093	117995886	0.013638611095305475	0.00013638611095305475	2.2034666530661924e-07
Gorilla	T2T	mGorGor1	alt	chr14_mat_hsa13	14	13	27	15394	140789646	0.010934042692315599	0.00010934042692315599	1.9177546621574713e-07
Siamang	T2T	mSymSyn1	alt	chr14_hap2	14	14	31	25698	123778606	0.020761261441254234	0.00020761261441254233	2.5044715724137335e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr14_hap2_hsa13	14	13	23	12066	103426334	0.011666274471257967	0.00011666274471257968	2.2238050127542952e-07
Bonobo	T2T	mPanPan1	alt	chr15_pat_hsa14	15	14	18	13958	110969798	0.012578197177577993	0.00012578197177577993	1.6220629688809563e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr15_hap2_hsa14	15	14	10	8436	107060260	0.007879674493598278	7.879674493598278e-05	9.340534013274393e-08
Chimpanzee	T2T	mPanTro3	alt	chr15_hap2_hsa14	15	14	18	17569	102708101	0.01710575877554196	0.0001710575877554196	1.75253946132253e-07
Gorilla	T2T	mGorGor1	alt	chr15_mat_hsa14	15	14	6	3909	145828024	0.0026805547334303867	2.6805547334303865e-05	4.114435507951476e-08
Siamang	T2T	mSymSyn1	alt	chr15_hap2	15	15	19	10324	134005234	0.007704176689098577	7.704176689098577e-05	1.4178550667655264e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr15_hap2_hsa14	15	14	8	8195	103738455	0.007899674233629179	7.899674233629179e-05	7.711701509339039e-08
Bonobo	T2T	mPanPan1	alt	chr16_mat_hsa15	16	15	17	14703	95575034	0.015383724582300437	0.00015383724582300435	1.7787071883228417e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr16_hap2_hsa15	16	15	28	14352	109691975	0.013083910650710774	0.00013083910650710774	2.552602412346026e-07
Chimpanzee	T2T	mPanTro3	alt	chr16_hap2_hsa15	16	15	19	15210	97712329	0.015566101182584646	0.00015566101182584645	1.9444833824398967e-07
Gorilla	T2T	mGorGor1	alt	chr16_mat_hsa15	16	15	16	14044	105787977	0.013275610705742109	0.0001327561070574211	1.5124592088569762e-07
Siamang	T2T	mSymSyn1	alt	chr16_hap2	16	16	15	9541	109358618	0.008724506741663468	8.724506741663469e-05	1.371634012419579e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr16_hap2_hsa15	16	15	29	16143	105127583	0.015355627456972923	0.00015355627456972924	2.7585529099437205e-07
Bonobo	T2T	mPanPan1	alt	chr17_pat_hsa18	17	18	11	4027	99274086	0.004056446311678961	4.0564463116789614e-05	1.108043442475008e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr17_hap2_hsa18	17	18	6	1262	98348472	0.001283192279794647	1.283192279794647e-05	6.100755688405611e-08
Chimpanzee	T2T	mPanTro3	alt	chr17_hap2_hsa18	17	18	15	6753	91956294	0.007343706130653765	7.343706130653764e-05	1.6312097136059007e-07
Gorilla	T2T	mGorGor1	alt	chr17_pat_hsa18	17	18	6	1011	107360859	0.000941683970691777	9.41683970691777e-06	5.588628906182653e-08
Siamang	T2T	mSymSyn1	alt	chr17_hap2	17	17	27	11871	112582968	0.010544223705312158	0.00010544223705312157	2.3982313203894215e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr17_hap2_hsa18	17	18	6	1203	90163724	0.0013342394775087152	1.3342394775087151e-05	6.654560985080873e-08
Bonobo	T2T	mPanPan1	alt	chr18_mat_hsa16	18	16	16	16375	109413086	0.014966217112274851	0.00014966217112274852	1.4623479315810543e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr18_hap2_hsa16	18	16	21	16314	87924504	0.018554554484606474	0.00018554554484606476	2.388412677312345e-07
Chimpanzee	T2T	mPanTro3	alt	chr18_hap2_hsa16	18	16	15	17890	100838620	0.017741218592638417	0.00017741218592638415	1.4875253152016558e-07
Gorilla	T2T	mGorGor1	alt	chr18_mat_hsa16	18	16	23	17684	130721292	0.013528018067630482	0.00013528018067630483	1.7594685340166313e-07
Siamang	T2T	mSymSyn1	alt	chr18_hap2	18	18	16	3311	112046784	0.002955015647749426	2.9550156477494258e-05	1.4279749430380795e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr18_hap2_hsa16	18	16	21	16365	87469633	0.018709350249588905	0.00018709350249588905	2.4008332125961935e-07
Bonobo	T2T	mPanPan1	alt	chr19_mat_hsa17	19	17	17	15861	104931508	0.015115574246774382	0.00015115574246774382	1.6201044208761396e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr19_hap2_hsa17	19	17	39	75718	97885731	0.07735346023007174	0.0007735346023007173	3.9842374983132116e-07
Chimpanzee	T2T	mPanTro3	alt	chr19_hap2_hsa17	19	17	22	21856	97071989	0.02251524896641399	0.00022515248966413989	2.2663592480833993e-07
Gorilla	T2T	mGorGor1	alt	chr19_mat_hsa5x17	19	5x17	10	5767	112731836	0.00511568001074692	5.11568001074692e-05	8.870608653974198e-08
Siamang	T2T	mSymSyn1	alt	chr19_hap2	19	19	18	19254	101944316	0.018886781289503184	0.00018886781289503184	1.7656697995796057e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr19_hap2_hsa17	19	17	50	115576	101028621	0.11439926513497596	0.0011439926513497596	4.949092594265936e-07
Bonobo	T2T	mPanPan1	alt	chr2_pat_hsa3	2	3	41	22455	196684730	0.011416748010890322	0.00011416748010890322	2.0845543016989678e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr2_hap2_hsa3	2	3	51	28937	209245459	0.013829212895845926	0.00013829212895845926	2.437328878902935e-07
Chimpanzee	T2T	mPanTro3	alt	chr2_hap2_hsa3	2	3	44	22769	200342395	0.011365043329945217	0.00011365043329945217	2.1962400918687232e-07
Gorilla	T2T	mGorGor1	alt	chr2_mat_hsa3	2	3	39	22468	215070446	0.010446809600236752	0.00010446809600236752	1.8133593306446204e-07
Siamang	T2T	mSymSyn1	alt	chr2_hap2	2	2	20	9400	168758783	0.0055700804621232666	5.5700804621232664e-05	1.1851235025794183e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr2_hap2_hsa3	2	3	47	25123	209606446	0.011985795513178063	0.00011985795513178063	2.242297453008673e-07
Bonobo	T2T	mPanPan1	alt	chr20_mat_hsa19	20	19	23	9300	70552700	0.01318163585518343	0.00013181635855183431	3.259974458808805e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr20_hap2_hsa19	20	19	24	9225	62950346	0.014654407141781239	0.0001465440714178124	3.81252868729268e-07
Chimpanzee	T2T	mPanTro3	alt	chr20_hap2_hsa19	20	19	22	9442	73832502	0.012788405843269405	0.00012788405843269405	2.979717523320556e-07
Gorilla	T2T	mGorGor1	alt	chr20_pat_hsa19	20	19	20	8725	76019317	0.011477345948793516	0.00011477345948793515	2.63091024614178e-07
Siamang	T2T	mSymSyn1	alt	chr20_hap2	20	20	6	1050	81273000	0.0012919419733490828	1.2919419733490827e-05	7.382525561994758e-08
Sumatran orangutan	T2T	mPonAbe1	alt	chr20_hap2_hsa19	20	19	23	8471	71828149	0.01179342655760209	0.0001179342655760209	3.2020872485520963e-07
Bonobo	T2T	mPanPan1	alt	chr21_pat_hsa20	21	20	12	7950	78222054	0.010163374129756295	0.00010163374129756296	1.5340942082651014e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr21_hap2_hsa20	21	20	11	10806	65946565	0.01638599372082534	0.0001638599372082534	1.6680171287162568e-07
Chimpanzee	T2T	mPanTro3	alt	chr21_hap2_hsa20	21	20	11	8077	78790912	0.010251182268330642	0.00010251182268330642	1.396100098447902e-07
Gorilla	T2T	mGorGor1	alt	chr21_mat_hsa20	21	20	7	5112	84485897	0.006050714002598564	6.050714002598564e-05	8.285406498080976e-08
Siamang	T2T	mSymSyn1	alt	chr21_hap2	21	21	16	14751	96803676	0.015238057695247028	0.00015238057695247028	1.652829795430496e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr21_hap2_hsa20	21	20	11	10862	68780452	0.015792277724490673	0.00015792277724490674	1.599291612680882e-07
Bonobo	T2T	mPanPan1	alt	chr22_mat_hsa21	22	21	13	4608	44445573	0.0103677367372449	0.000103677367372449	2.924925728823431e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr22_hap2_hsa21	22	21	17	16455	58899425	0.02793745439789947	0.0002793745439789947	2.8862760544776116e-07
Chimpanzee	T2T	mPanTro3	alt	chr22_hap2_hsa21	22	21	17	10776	49554819	0.021745614689864974	0.00021745614689864975	3.4305442625065384e-07
Gorilla	T2T	mGorGor1	alt	chr22_pat_hsa21	22	21	9	3447	58627414	0.005879502036368174	5.8795020363681744e-05	1.5351180251614032e-07
Siamang	T2T	mSymSyn1	alt	chr22_hap2	22	22	39	62600	84632543	0.07396681912299385	0.0007396681912299385	4.608156462934122e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr22_hap2_hsa21	22	21	18	15986	54334173	0.029421631208042864	0.00029421631208042864	3.3128322391140473e-07
Bonobo	T2T	mPanPan1	alt	chr23_mat_hsa22	23	22	15	7391	69178672	0.010683928711438693	0.00010683928711438694	2.1682983449002894e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr23_hap2_hsa22	23	22	16	7138	53688005	0.013295334777293364	0.00013295334777293363	2.9801815135429226e-07
Chimpanzee	T2T	mPanTro3	alt	chr23_hap2_hsa22	23	22	20	13477	55318256	0.024362662481622704	0.00024362662481622704	3.615442974196439e-07
Gorilla	T2T	mGorGor1	alt	chr23_pat_hsa22	23	22	17	6359	58753399	0.010823203607335127	0.00010823203607335126	2.893449619825399e-07
Siamang	T2T	mSymSyn1	alt	chr23_hap2	23	23	7	1797	71145118	0.0025258233460235457	2.525823346023546e-05	9.839044753569739e-08
Sumatran orangutan	T2T	mPonAbe1	alt	chr23_hap2_hsa22	23	22	15	7167	54011003	0.013269518434975185	0.00013269518434975186	2.7772118951392184e-07
Siamang	T2T	mSymSyn1	alt	chr24_hap2	24	24	7	5127	75552088	0.006786046733744804	6.786046733744804e-05	9.26513109736954e-08
Bonobo	T2T	mPanPan1	alt	chr3_mat_hsa4	3	4	35	40566	188961582	0.021467855831139263	0.00021467855831139264	1.8522283540153682e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr3_hap2_hsa4	3	4	35	47650	203539384	0.02341070266774513	0.0002341070266774513	1.7195689262771866e-07
Chimpanzee	T2T	mPanTro3	alt	chr3_hap2_hsa4	3	4	35	40637	193341695	0.021018228892634876	0.00021018228892634878	1.8102665335586306e-07
Gorilla	T2T	mGorGor1	alt	chr3_mat_hsa4	3	4	33	32739	211540603	0.01547646150937747	0.00015476461509377469	1.5599842078544138e-07
Siamang	T2T	mSymSyn1	alt	chr3_hap2	3	3	35	29880	163590760	0.018265090277714953	0.00018265090277714953	2.1394851396252453e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr3_hap2_hsa4	3	4	40	48643	212218738	0.022921161655385963	0.00022921161655385964	1.8848476989812276e-07
Bonobo	T2T	mPanPan1	alt	chr4_pat_hsa5	4	5	39	31710	176622772	0.01795351734146716	0.00017953517341467157	2.2080957941255728e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr4_hap2_hsa5	4	5	30	22247	183842348	0.01210112916965138	0.0001210112916965138	1.6318329441701864e-07
Chimpanzee	T2T	mPanTro3	alt	chr4_hap2_hsa5	4	5	38	36279	179313117	0.020232206436966906	0.00020232206436966905	2.119198006022058e-07
Gorilla	T2T	mGorGor1	alt	chr4_mat_hsa17x5	4	17x5	49	62712	193752162	0.032367122695642486	0.0003236712269564249	2.529004037642687e-07
Siamang	T2T	mSymSyn1	alt	chr4_hap2	4	4	28	23698	164587457	0.01439842405487801	0.00014398424054878008	1.7012231983145592e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr4_hap2_hsa5	4	5	31	22891	189721022	0.012065610736589854	0.00012065610736589854	1.6339781260507862e-07
Bonobo	T2T	mPanPan1	alt	chr5_mat_hsa6	5	6	39	30360	189052245	0.016059052882445274	0.00016059052882445274	2.0629218129623376e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr5_hap2_hsa6	5	6	42	43133	172531923	0.0250000111573555	0.000250000111573555	2.434332109078736e-07
Chimpanzee	T2T	mPanTro3	alt	chr5_hap2_hsa6	5	6	33	88685	180078680	0.049247917632448214	0.0004924791763244821	1.832532313097808e-07
Gorilla	T2T	mGorGor1	alt	chr5_pat_hsa6	5	6	31	17341	188221671	0.00921307302600666	9.21307302600666e-05	1.6469941976022517e-07
Siamang	T2T	mSymSyn1	alt	chr5_hap2	5	5	23	14159	165069834	0.008577581776692161	8.57758177669216e-05	1.393349677688535e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr5_hap2_hsa6	5	6	43	49157	172332327	0.028524537941160628	0.0002852453794116063	2.4951789805519195e-07
Bonobo	T2T	mPanPan1	alt	chr6_pat_hsa7	6	7	46	53855	180450179	0.029844802758549772	0.00029844802758549773	2.5491800703616924e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr6_hap2_hsa7	6	7	59	120676	159277899	0.07576443483850825	0.0007576443483850826	3.704217620298972e-07
Chimpanzee	T2T	mPanTro3	alt	chr6_hap2_hsa7	6	7	45	55181	168845880	0.03268128307306047	0.00032681283073060475	2.665152386306376e-07
Gorilla	T2T	mGorGor1	alt	chr6_pat_hsa7	6	7	42	47919	176479397	0.027152744634547907	0.00027152744634547905	2.3798812050564747e-07
Siamang	T2T	mSymSyn1	alt	chr6_hap2	6	6	71	75572	162453087	0.04651927605413863	0.00046519276054138634	4.3704925102469736e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr6_hap2_hsa7	6	7	61	129130	161077158	0.08016654974754397	0.0008016654974754397	3.787004983040488e-07
Bonobo	T2T	mPanPan1	alt	chr7_mat_hsa8	7	8	53	48357	158099825	0.030586371616793378	0.0003058637161679338	3.3523123760573423e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr7_hap2_hsa8	7	8	53	36055	158832430	0.02270002417012697	0.0002270002417012697	3.3368500374891953e-07
Chimpanzee	T2T	mPanTro3	alt	chr7_hap2_hsa8	7	8	53	47773	164843013	0.02898090682193488	0.0002898090682193488	3.2151802515281614e-07
Gorilla	T2T	mGorGor1	alt	chr7_mat_hsa8	7	8	50	40135	165073201	0.024313455943705847	0.00024313455943705847	3.0289592554759995e-07
Siamang	T2T	mSymSyn1	alt	chr7_hap2	7	7	22	26902	153618332	0.017512232849917937	0.00017512232849917938	1.4321207445475974e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr7_hap2_hsa8	7	8	49	35901	165375051	0.02170883684262628	0.0002170883684262628	2.9629620492150294e-07
Bonobo	T2T	mPanPan1	alt	chr8_pat_hsa10	8	10	37	21299	150730666	0.014130502150106602	0.00014130502150106603	2.45470951478447e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr8_hap2_hsa10	8	10	44	34089	137913290	0.024717704870937385	0.00024717704870937384	3.190410438326865e-07
Chimpanzee	T2T	mPanTro3	alt	chr8_hap2_hsa10	8	10	37	20786	147433987	0.01409851311963774	0.0001409851311963774	2.509597736104091e-07
Gorilla	T2T	mGorGor1	alt	chr8_mat_hsa10	8	10	36	20511	151562521	0.01353302905274319	0.0001353302905274319	2.375257402850933e-07
Siamang	T2T	mSymSyn1	alt	chr8_hap2	8	8	32	31204	144673617	0.02156854901885808	0.00021568549018858083	2.2118752999726273e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr8_hap2_hsa10	8	10	45	32719	140600164	0.023270954363893915	0.00023270954363893915	3.200565256808662e-07
Bonobo	T2T	mPanPan1	alt	chr9_mat_hsa11	9	11	29	26116	136873591	0.01908037906304365	0.00019080379063043652	2.1187432716658978e-07
Bornean orangutan	T2T	mPonPyg2	alt	chr9_hap2_hsa11	9	11	29	23292	140580864	0.016568400091779206	0.00016568400091779205	2.062869666244191e-07
Chimpanzee	T2T	mPanTro3	alt	chr9_hap2_hsa11	9	11	34	27881	136439545	0.020434691423223378	0.00020434691423223378	2.491946158278379e-07
Gorilla	T2T	mGorGor1	alt	chr9_mat_hsa11	9	11	41	40158	148884735	0.02697254355861264	0.0002697254355861264	2.7538081724765133e-07
Siamang	T2T	mSymSyn1	alt	chr9_hap2	9	9	32	34024	148419001	0.0229242885147839	0.000229242885147839	2.1560581720934774e-07
Sumatran orangutan	T2T	mPonAbe1	alt	chr9_hap2_hsa11	9	11	29	23326	137947919	0.016909280088523843	0.00016909280088523844	2.102242658694982e-07
