NUMT	Bonobo	Chimpanzee	Human	Gorilla	Sorang	Borang
mGorGor1_numt248	0	0	1	1	0	0
mGorGor1_numt249	1	1	0	1	1	1
mGorGor1_numt250	1	1	0	1	1	1
mGorGor1_numt251	1	1	0	1	1	1
mGorGor1_numt252	1	1	0	1	1	1
mGorGor1_numt253	1	0	0	1	0	0
mGorGor1_numt254	1	1	1	1	0	0
mGorGor1_numt255	0	0	0	1	0	0
mGorGor1_numt256	1	1	1	1	0	0
mGorGor1_numt257	0	0	0	1	0	0
mGorGor1_numt258	0	0	0	1	0	0
mGorGor1_numt259	0	0	0	1	0	0
mGorGor1_numt260	0	0	0	1	0	0
mGorGor1_numt261	1	1	0	1	1	1
mGorGor1_numt262	1	1	0	1	1	1
mGorGor1_numt263	1	1	0	1	1	1
mGorGor1_numt264	1	1	0	1	1	1
mGorGor1_numt265	1	1	0	1	1	1
mGorGor1_numt266	1	1	0	1	1	1
mGorGor1_numt267	1	1	0	1	1	1
mGorGor1_numt268	1	1	0	1	1	1
mGorGor1_numt269	1	1	0	1	1	1
mGorGor1_numt270	0	0	0	1	0	0
mGorGor1_numt271	1	1	0	1	1	1
mGorGor1_numt272	1	1	0	1	1	1
mGorGor1_numt273	1	1	0	1	1	1
mGorGor1_numt274	1	1	0	1	1	1
mGorGor1_numt275	1	1	0	1	1	1
mGorGor1_numt276	1	1	1	1	1	1
mGorGor1_numt277	0	0	0	1	0	0
mGorGor1_numt278	1	1	0	1	1	1
mGorGor1_numt279	1	1	0	1	1	1
mGorGor1_numt280	1	1	0	1	0	0
mGorGor1_numt281	1	1	0	1	1	1
mGorGor1_numt282	0	0	0	1	0	0
mGorGor1_numt283	1	1	0	1	1	1
mGorGor1_numt284	1	1	0	1	0	0
mGorGor1_numt285	1	1	1	1	1	1
mGorGor1_numt286	1	1	1	1	1	1
mGorGor1_numt287	1	1	1	1	1	1
mGorGor1_numt288	0	0	0	1	0	1
mGorGor1_numt289	1	1	1	1	0	1
mGorGor1_numt290	1	1	1	1	1	1
mGorGor1_numt291	1	1	1	1	0	0
mGorGor1_numt293	1	1	1	1	1	1
mGorGor1_numt294	1	1	1	1	1	1
mGorGor1_numt295	1	1	1	1	1	1
mGorGor1_numt296	1	1	1	1	0	1
mGorGor1_numt297	1	1	1	1	1	1
mGorGor1_numt298	1	1	1	1	1	1
mGorGor1_numt299	1	1	1	1	0	0
mGorGor1_numt300	1	1	1	1	1	1
mGorGor1_numt301	1	1	1	1	1	1
mGorGor1_numt302	1	1	1	1	1	1
mGorGor1_numt304	1	1	1	1	0	0
mGorGor1_numt305	1	1	1	1	0	0
mGorGor1_numt306	1	1	1	1	1	1
mGorGor1_numt307	1	1	0	1	0	0
mGorGor1_numt308	1	1	1	1	1	1
mGorGor1_numt309	1	1	1	1	1	1
mGorGor1_numt310	1	1	1	1	1	1
mGorGor1_numt311	1	1	1	1	1	1
mGorGor1_numt312	1	1	1	1	1	1
mGorGor1_numt313	1	1	1	1	1	1
mGorGor1_numt314	1	1	1	1	1	1
mGorGor1_numt315	1	1	1	1	1	1
mGorGor1_numt316	1	1	1	1	1	1
mGorGor1_numt317	1	1	0	1	0	0
mGorGor1_numt318	0	0	0	1	0	0
mGorGor1_numt319	1	1	1	1	0	0
mGorGor1_numt320	0	0	0	1	0	0
mGorGor1_numt321	1	1	1	1	0	0
mGorGor1_numt322	1	1	1	1	0	0
mGorGor1_numt323	1	1	1	1	1	1
mGorGor1_numt324	1	0	1	1	0	0
mGorGor1_numt325	1	1	1	1	0	0
mGorGor1_numt326	1	1	1	1	1	1
mGorGor1_numt327	1	1	1	1	1	1
mGorGor1_numt328	0	0	1	1	0	0
mGorGor1_numt329	0	0	1	1	1	1
mGorGor1_numt330	0	0	1	1	1	1
mGorGor1_numt331	0	0	1	1	1	1
mGorGor1_numt332	0	0	1	1	1	1
mGorGor1_numt333	1	1	1	1	1	1
mGorGor1_numt334	0	0	0	1	0	0
mGorGor1_numt335	1	1	1	1	0	0
mGorGor1_numt336	1	1	1	1	0	0
mGorGor1_numt337	1	1	1	1	0	0
mGorGor1_numt338	0	0	0	1	0	0
mGorGor1_numt339	1	1	0	1	0	0
mGorGor1_numt340	1	1	1	1	0	0
mGorGor1_numt341	1	1	1	1	0	0
mGorGor1_numt342	1	1	1	1	0	0
mGorGor1_numt344	1	1	1	1	0	0
mGorGor1_numt345	1	1	1	1	1	0
mGorGor1_numt346	1	1	1	1	0	0
mGorGor1_numt347	1	1	1	1	0	0
mGorGor1_numt348	0	0	0	1	0	1
mGorGor1_numt349	1	1	1	1	0	1
mGorGor1_numt350	1	1	1	1	0	0
mGorGor1_numt351	1	1	1	1	0	1
mGorGor1_numt352	1	1	1	1	0	1
mGorGor1_numt353	1	1	1	1	0	0
mGorGor1_numt354	1	1	1	1	0	0
mGorGor1_numt355	1	1	1	1	0	1
mGorGor1_numt356	1	1	1	1	0	0
mGorGor1_numt357	1	1	1	1	0	1
mGorGor1_numt358	1	1	1	1	0	1
mGorGor1_numt359	1	1	1	1	0	1
mGorGor1_numt360	1	1	1	1	1	1
mGorGor1_numt361	1	1	1	1	1	1
mGorGor1_numt362	1	1	1	1	1	1
mGorGor1_numt363	1	1	1	1	1	1
mGorGor1_numt364	1	1	1	1	1	1
mGorGor1_numt365	1	1	1	1	1	1
mGorGor1_numt366	1	1	1	1	1	1
mGorGor1_numt367	1	0	1	1	1	1
mGorGor1_numt368	1	1	1	1	1	1
mGorGor1_numt369	0	0	0	1	1	1
mGorGor1_numt370	1	1	1	1	1	1
mGorGor1_numt371	1	1	1	1	0	0
mGorGor1_numt372	1	1	1	1	0	0
mGorGor1_numt373	1	1	1	1	1	1
mGorGor1_numt374	1	1	1	1	1	1
mGorGor1_numt375	1	1	1	1	0	0
mGorGor1_numt376	0	0	0	1	1	1
mGorGor1_numt377	1	1	1	1	1	1
mGorGor1_numt378	1	1	1	1	0	0
mGorGor1_numt379	1	1	1	1	0	0
mGorGor1_numt380	1	1	1	1	1	1
mGorGor1_numt381	1	1	1	1	0	0
mGorGor1_numt382	1	1	1	1	0	0
mGorGor1_numt383	0	0	0	1	0	0
mGorGor1_numt384	0	0	0	1	0	0
mGorGor1_numt385	1	1	0	1	0	0
mGorGor1_numt386	1	1	0	1	1	1
mGorGor1_numt387	1	1	0	1	1	1
mGorGor1_numt388	1	1	0	1	1	1
mGorGor1_numt389	1	1	0	1	1	1
mGorGor1_numt390	1	1	0	1	1	1
mGorGor1_numt391	1	1	0	1	0	1
mGorGor1_numt392	1	1	0	1	0	0
mGorGor1_numt393	0	0	1	1	1	1
mGorGor1_numt394	0	0	1	1	1	1
mGorGor1_numt395	1	1	1	1	1	1
mGorGor1_numt396	1	1	1	1	1	1
mGorGor1_numt397	1	1	1	1	1	1
mGorGor1_numt398	1	1	1	1	1	1
mGorGor1_numt399	1	1	1	1	1	1
mGorGor1_numt400	1	1	1	1	1	1
mGorGor1_numt401	1	1	1	1	1	1
mGorGor1_numt402	1	1	1	1	0	0
mGorGor1_numt403	0	0	1	1	1	1
mGorGor1_numt404	1	1	1	1	1	1
mGorGor1_numt405	1	1	0	1	0	0
mGorGor1_numt406	1	1	1	1	1	1
mGorGor1_numt407	1	1	1	1	1	1
mGorGor1_numt408	1	1	1	1	1	1
mGorGor1_numt409	0	0	0	1	0	0
mGorGor1_numt410	0	0	0	1	0	0
mGorGor1_numt411	0	0	0	1	0	0
mGorGor1_numt412	0	0	0	1	1	1
mGorGor1_numt413	0	0	0	1	0	0
mGorGor1_numt414	1	1	0	1	0	0
mGorGor1_numt415	1	1	0	1	0	0
mGorGor1_numt416	1	1	0	1	1	1
mGorGor1_numt417	1	1	0	1	0	0
mGorGor1_numt418	1	1	0	1	0	0
mGorGor1_numt419	1	1	0	1	0	1
mGorGor1_numt420	1	1	1	1	1	0
mGorGor1_numt421	0	0	1	1	0	0
mGorGor1_numt422	0	0	1	1	0	0
mGorGor1_numt423	0	0	1	1	1	0
mGorGor1_numt424	0	0	1	1	1	1
mGorGor1_numt425	0	0	0	1	0	0
mGorGor1_numt426	0	0	0	1	0	0
mGorGor1_numt427	0	0	0	1	0	0
mGorGor1_numt428	0	0	0	1	0	0
mGorGor1_numt429	0	0	0	1	0	0
mGorGor1_numt430	0	0	0	1	0	0
mGorGor1_numt431	0	0	0	1	0	0
mGorGor1_numt432	0	0	0	1	0	0
mGorGor1_numt433	0	0	0	1	0	0
mGorGor1_numt434	0	0	1	1	1	1
mGorGor1_numt435	0	0	1	1	0	0
mGorGor1_numt436	1	1	1	1	1	1
mGorGor1_numt437	1	1	1	1	1	1
mGorGor1_numt438	1	1	1	1	1	1
mGorGor1_numt439	0	0	0	1	0	0
mGorGor1_numt441	0	0	0	1	0	0
mGorGor1_numt442	1	1	1	1	0	0
mGorGor1_numt443	1	1	1	1	1	1
mGorGor1_numt444	1	1	1	1	1	1
mGorGor1_numt446	1	1	1	1	1	1
mGorGor1_numt447	1	1	1	1	1	1
mGorGor1_numt448	1	1	1	1	1	1
mGorGor1_numt449	0	0	0	1	0	0
mGorGor1_numt450	1	1	1	1	1	1
mGorGor1_numt451	1	1	1	1	1	1
mGorGor1_numt452	0	0	0	1	0	0
mGorGor1_numt454	0	0	1	1	0	0
mGorGor1_numt455	1	1	1	1	0	0
mGorGor1_numt456	1	1	1	1	0	0
mGorGor1_numt457	1	1	0	1	0	0
mGorGor1_numt458	1	1	1	1	1	1
mGorGor1_numt459	1	1	1	1	1	1
mGorGor1_numt460	1	1	1	1	1	1
mGorGor1_numt461	1	1	1	1	1	1
mGorGor1_numt462	1	1	1	1	1	1
mGorGor1_numt463	1	1	1	1	0	0
mGorGor1_numt464	1	1	1	1	1	1
mGorGor1_numt465	0	0	0	1	0	0
mGorGor1_numt466	1	1	1	1	1	1
mGorGor1_numt467	1	1	1	1	1	1
mGorGor1_numt468	1	1	1	1	0	0
mGorGor1_numt471	1	1	1	1	1	1
mGorGor1_numt472	1	1	0	1	1	0
mGorGor1_numt473	1	1	1	1	1	1
mGorGor1_numt474	1	1	1	1	1	0
mGorGor1_numt475	1	1	0	1	0	0
mGorGor1_numt476	1	1	1	1	1	1
mGorGor1_numt477	1	1	1	1	0	0
mGorGor1_numt479	1	1	0	1	0	0
mGorGor1_numt480	1	1	1	1	0	1
mGorGor1_numt481	1	1	1	1	0	0
mGorGor1_numt482	1	1	1	1	1	1
mGorGor1_numt483	0	0	0	1	0	0
mGorGor1_numt484	1	1	1	1	0	0
mGorGor1_numt485	1	1	1	1	0	0
mGorGor1_numt486	1	1	1	1	0	0
mGorGor1_numt487	1	1	1	1	0	0
mGorGor1_numt488	1	1	1	1	0	0
mGorGor1_numt489	1	1	1	1	1	1
mGorGor1_numt490	1	1	1	1	1	1
mGorGor1_numt491	1	1	1	1	1	1
mGorGor1_numt492	1	1	1	1	1	1
mGorGor1_numt493	1	1	1	1	0	0
mGorGor1_numt494	1	1	1	1	0	0
mGorGor1_numt495	1	1	1	1	0	0
mGorGor1_numt496	1	1	1	1	0	0
mGorGor1_numt497	1	1	1	1	0	1
mGorGor1_numt498	0	0	1	1	0	1
mGorGor1_numt499	0	1	1	1	1	1
mGorGor1_numt500	0	1	1	1	0	0
mGorGor1_numt501	0	1	1	1	0	0
mGorGor1_numt503	0	1	1	1	1	1
mGorGor1_numt504	0	1	1	1	0	0
mGorGor1_numt505	0	1	1	1	0	0
mGorGor1_numt506	0	1	1	1	0	0
mGorGor1_numt507	0	1	1	1	0	0
mGorGor1_numt508	1	1	1	1	1	1
mGorGor1_numt509	1	1	1	1	1	1
mGorGor1_numt510	1	1	1	1	1	1
mGorGor1_numt511	1	1	1	1	1	1
mGorGor1_numt512	1	1	1	1	1	1
mGorGor1_numt513	1	1	1	1	1	1
mGorGor1_numt514	0	0	1	1	1	1
mGorGor1_numt515	0	0	0	1	0	0
mGorGor1_numt516	1	1	1	1	1	1
mGorGor1_numt517	1	1	1	1	1	1
mGorGor1_numt518	1	1	1	1	0	0
mGorGor1_numt519	1	1	1	1	0	0
mGorGor1_numt520	1	1	1	1	1	1
mGorGor1_numt521	1	1	1	1	1	1
mGorGor1_numt522	1	1	1	1	0	0
mGorGor1_numt523	1	1	1	1	1	1
mGorGor1_numt524	1	1	1	1	0	0
mGorGor1_numt525	1	1	1	1	1	1
mGorGor1_numt526	1	1	1	1	1	1
mGorGor1_numt527	0	0	0	1	0	0
mGorGor1_numt528	1	1	1	1	0	0
mGorGor1_numt529	1	1	0	1	0	0
mGorGor1_numt530	1	1	1	1	1	1
mGorGor1_numt531	1	1	1	1	1	1
mGorGor1_numt532	1	1	1	1	0	0
mGorGor1_numt533	1	1	1	1	1	1
mGorGor1_numt534	1	1	1	1	1	1
mGorGor1_numt535	0	0	0	1	0	0
mGorGor1_numt536	0	0	0	1	0	0
mGorGor1_numt537	0	0	0	1	0	0
mGorGor1_numt538	0	0	0	1	0	0
mGorGor1_numt539	0	0	0	1	0	0
mGorGor1_numt540	0	0	0	1	0	0
mGorGor1_numt541	0	0	0	1	0	0
mGorGor1_numt542	0	0	0	1	0	0
mGorGor1_numt543	0	0	0	1	0	0
mGorGor1_numt544	0	0	0	1	0	0
mGorGor1_numt545	0	0	0	1	0	0
mGorGor1_numt546	0	0	0	1	0	0
mGorGor1_numt547	0	0	0	1	0	0
mGorGor1_numt548	0	0	0	1	0	0
mGorGor1_numt549	0	0	0	1	0	0
mGorGor1_numt550	0	0	0	1	0	0
mGorGor1_numt552	0	0	0	1	0	0
mGorGor1_numt553	0	0	0	1	0	0
mGorGor1_numt554	0	0	0	1	0	0
mGorGor1_numt555	0	0	0	1	0	0
mGorGor1_numt556	0	0	0	1	0	0
mGorGor1_numt557	0	0	0	1	0	0
mGorGor1_numt558	1	1	1	1	1	1
mGorGor1_numt559	1	1	1	1	1	1
mGorGor1_numt560	1	1	1	1	1	1
mGorGor1_numt561	1	1	1	1	1	1
mGorGor1_numt562	1	1	1	1	1	1
mGorGor1_numt563	1	1	1	1	1	1
mGorGor1_numt564	1	1	1	1	1	1
mGorGor1_numt565	1	1	1	1	1	1
mGorGor1_numt566	1	1	0	1	1	1
mGorGor1_numt567	1	1	1	1	1	1
mGorGor1_numt568	1	1	1	1	1	1
mGorGor1_numt569	1	1	1	1	1	1
mGorGor1_numt570	1	1	1	1	1	1
mGorGor1_numt571	0	1	1	1	1	1
mGorGor1_numt572	1	1	1	1	1	0
mGorGor1_numt573	1	1	1	1	0	0
mGorGor1_numt574	1	1	0	1	0	0
mGorGor1_numt575	1	1	1	1	1	1
mGorGor1_numt576	0	0	0	1	0	0
mGorGor1_numt577	1	1	1	1	1	1
mGorGor1_numt578	0	0	1	0	0	0
mGorGor1_numt579	1	1	1	1	1	1
mGorGor1_numt580	1	1	1	1	1	1
mGorGor1_numt581	1	1	1	1	1	1
mGorGor1_numt582	1	1	1	1	1	1
mGorGor1_numt583	1	1	1	1	0	0
mGorGor1_numt584	0	0	0	1	0	0
mGorGor1_numt585	0	0	0	1	0	0
mGorGor1_numt586	0	0	0	1	1	1
mGorGor1_numt587	0	0	0	1	1	1
mGorGor1_numt588	0	0	0	1	1	1
mGorGor1_numt589	0	0	0	1	1	0
mGorGor1_numt590	0	0	0	1	1	1
mGorGor1_numt591	0	0	0	1	1	1
mGorGor1_numt592	0	0	0	1	0	0
mGorGor1_numt593	0	0	1	1	1	0
mGorGor1_numt594	0	0	0	1	0	0
mGorGor1_numt595	0	0	0	1	0	0
mGorGor1_numt596	0	0	0	1	0	0
mGorGor1_numt597	0	0	0	1	0	0
mGorGor1_numt598	0	0	0	1	0	0
mGorGor1_numt599	0	0	0	1	0	0
mGorGor1_numt600	0	0	0	1	0	0
mGorGor1_numt601	1	1	1	1	0	0
mGorGor1_numt602	1	1	1	1	1	1
mGorGor1_numt603	0	0	0	1	1	1
mGorGor1_numt604	1	1	1	1	1	1
mGorGor1_numt605	1	1	1	1	1	1
mGorGor1_numt606	1	1	1	1	0	0
mGorGor1_numt607	1	1	1	1	0	0
mGorGor1_numt608	1	1	1	1	1	1
mGorGor1_numt609	1	1	1	1	1	1
mGorGor1_numt610	1	1	1	1	0	1
mGorGor1_numt611	1	1	1	1	0	0
mGorGor1_numt612	1	1	1	1	0	0
mGorGor1_numt613	1	1	1	1	0	0
mGorGor1_numt614	0	0	0	1	0	0
mGorGor1_numt615	1	1	1	1	0	0
mGorGor1_numt616	1	1	1	1	0	0
mGorGor1_numt617	1	1	1	1	0	0
mGorGor1_numt618	1	0	1	1	0	0
mGorGor1_numt619	1	1	1	1	0	0
mGorGor1_numt620	0	0	0	1	0	0
mGorGor1_numt621	0	0	0	1	0	0
mGorGor1_numt622	0	0	0	1	0	0
