Query_Species	NUMT	NUMT_info	Loci
mPanTro3	mPanTro3_numt55	NUMT_1469bp_85%	+::chr11_hap1_hsa9:88710066-88711535
mPanTro3	mPanTro3_numt56	NUMT_1577bp_97%	+::chr11_hap1_hsa9:93412611-93414188
mPanTro3	mPanTro3_numt57	NUMT_12220bp_97%,NUMT_4141bp_96%,NUMT_8076bp_98%	-::chr11_hap1_hsa9:93414201-93426421
mPanTro3	mPanTro3_numt58	NUMT_73bp_86%	-::chr11_hap1_hsa9:97089561-97089634
mPanTro3	mPanTro3_numt59	NUMT_89bp_89%	-::chr11_hap1_hsa9:97578014-97578103
mPanTro3	mPanTro3_numt60	NUMT_3664bp_74%	-::chr11_hap1_hsa9:110787813-110791477
mPanTro3	mPanTro3_numt61	NUMT_1022bp_72%,NUMT_1938bp_74%,NUMT_912bp_77%	-::chr11_hap1_hsa9:110797617-110799555
mPanTro3	mPanTro3_numt62	NUMT_6633bp_77%	-::chr11_hap1_hsa9:110799838-110806471
mPanTro3	mPanTro3_numt63	NUMT_141bp_77%	-::chr12_hap1_hsa2a:16155471-16155612
mPanTro3	mPanTro3_numt64	NUMT_92bp_76%	-::chr12_hap1_hsa2a:19169690-19169782
mPanTro3	mPanTro3_numt65	NUMT_126bp_78%	-::chr12_hap1_hsa2a:19229141-19229267
mPanTro3	mPanTro3_numt66	NUMT_67bp_85%	+::chr12_hap1_hsa2a:20316932-20316999
mPanTro3	mPanTro3_numt67	NUMT_84bp_93%	+::chr12_hap1_hsa2a:22540429-22540513
mPanTro3	mPanTro3_numt68	NUMT_80bp_79%	-::chr12_hap1_hsa2a:26388683-26388763
mPanTro3	mPanTro3_numt69	NUMT_152bp_81%	-::chr12_hap1_hsa2a:28173781-28173933
mPanTro3	mPanTro3_numt70	NUMT_763bp_79%	-::chr12_hap1_hsa2a:28174049-28174812
mPanTro3	mPanTro3_numt71	NUMT_1365bp_75%	+::chr12_hap1_hsa2a:28174843-28176208
mPanTro3	mPanTro3_numt72	NUMT_514bp_83%	+::chr12_hap1_hsa2a:28176281-28176795
mPanTro3	mPanTro3_numt73	NUMT_149bp_75%	+::chr12_hap1_hsa2a:28440226-28440375
mPanTro3	mPanTro3_numt74	NUMT_942bp_75%	-::chr12_hap1_hsa2a:31384653-31385595
mPanTro3	mPanTro3_numt75	NUMT_1374bp_75%	+::chr12_hap1_hsa2a:31385626-31387000
mPanTro3	mPanTro3_numt76	NUMT_514bp_85%	+::chr12_hap1_hsa2a:31387073-31387587
mPanTro3	mPanTro3_numt77	NUMT_149bp_75%	-::chr12_hap1_hsa2a:31856623-31856772
mPanTro3	mPanTro3_numt78	NUMT_60bp_82%	+::chr12_hap1_hsa2a:37030480-37030540
mPanTro3	mPanTro3_numt79	NUMT_229bp_83%	+::chr12_hap1_hsa2a:37677728-37677957
mPanTro3	mPanTro3_numt80	NUMT_141bp_82%,NUMT_143bp_83%	-::chr12_hap1_hsa2a:39910757-39910900
mPanTro3	mPanTro3_numt81	NUMT_3365bp_71%	-::chr12_hap1_hsa2a:39911738-39915103
mPanTro3	mPanTro3_numt82	NUMT_1681bp_72%	-::chr12_hap1_hsa2a:39915414-39917095
mPanTro3	mPanTro3_numt83	NUMT_105bp_90%	+::chr12_hap1_hsa2a:47689784-47689889
mPanTro3	mPanTro3_numt84	NUMT_269bp_77%	-::chr12_hap1_hsa2a:54475266-54475535
mPanTro3	mPanTro3_numt85	NUMT_211bp_78%	+::chr12_hap1_hsa2a:59034214-59034425
mPanTro3	mPanTro3_numt86	NUMT_169bp_77%	-::chr12_hap1_hsa2a:66189972-66190141
mPanTro3	mPanTro3_numt87	NUMT_728bp_84%	+::chr12_hap1_hsa2a:72062888-72063616
mPanTro3	mPanTro3_numt88	NUMT_157bp_89%	-::chr12_hap1_hsa2a:81960575-81960732
mPanTro3	mPanTro3_numt89	NUMT_192bp_84%	-::chr12_hap1_hsa2a:100538477-100538669
mPanTro3	mPanTro3_numt90	NUMT_109bp_83%	+::chr12_hap1_hsa2a:103643594-103643703
mPanTro3	mPanTro3_numt91	NUMT_115bp_78%	-::chr12_hap1_hsa2a:107347188-107347303
mPanTro3	mPanTro3_numt92	NUMT_84bp_78%	+::chr12_hap1_hsa2a:111618159-111618243
mPanTro3	mPanTro3_numt93	NUMT_81bp_80%	+::chr13_hap1_hsa2b:15167213-15167294
mPanTro3	mPanTro3_numt94	NUMT_1213bp_68%	+::chr13_hap1_hsa2b:17444460-17445673
mPanTro3	mPanTro3_numt95	NUMT_228bp_78%	+::chr13_hap1_hsa2b:17726902-17727130
mPanTro3	mPanTro3_numt96	NUMT_5793bp_77%	+::chr13_hap1_hsa2b:17727883-17733676
mPanTro3	mPanTro3_numt97	NUMT_1320bp_76%,NUMT_533bp_76%,NUMT_784bp_76%	+::chr13_hap1_hsa2b:20892885-20894205
mPanTro3	mPanTro3_numt98	NUMT_2935bp_75%	+::chr13_hap1_hsa2b:20894582-20897517
mPanTro3	mPanTro3_numt99	NUMT_448bp_75%	+::chr13_hap1_hsa2b:20897812-20898260
mPanTro3	mPanTro3_numt100	NUMT_669bp_74%	+::chr13_hap1_hsa2b:20898466-20899135
mPanTro3	mPanTro3_numt101	NUMT_283bp_74%	-::chr13_hap1_hsa2b:25290047-25290330
mPanTro3	mPanTro3_numt102	NUMT_506bp_71%	+::chr13_hap1_hsa2b:26427058-26427564
mPanTro3	mPanTro3_numt103	NUMT_398bp_79%,NUMT_419bp_78%	+::chr13_hap1_hsa2b:26428349-26428768
mPanTro3	mPanTro3_numt104	NUMT_86bp_83%	-::chr13_hap1_hsa2b:29773473-29773559
mPanTro3	mPanTro3_numt105	NUMT_109bp_95%	-::chr13_hap1_hsa2b:29830722-29830831
mPanTro3	mPanTro3_numt106	NUMT_143bp_76%	+::chr13_hap1_hsa2b:31000119-31000262
mPanTro3	mPanTro3_numt107	NUMT_1554bp_76%,NUMT_5259bp_77%,NUMT_6817bp_77%	+::chr13_hap1_hsa2b:31000289-31007106
mPanTro3	mPanTro3_numt108	NUMT_59bp_85%	+::chr13_hap1_hsa2b:31007174-31007233
mPanTro3	mPanTro3_numt109	NUMT_4711bp_75%	+::chr13_hap1_hsa2b:31012935-31017646
mPanTro3	mPanTro3_numt110	NUMT_128bp_98%	+::chr13_hap1_hsa2b:31029582-31029710
mPanTro3	mPanTro3_numt111	NUMT_128bp_98%	-::chr13_hap1_hsa2b:31855844-31855972
mPanTro3	mPanTro3_numt112	NUMT_4711bp_75%	-::chr13_hap1_hsa2b:31867856-31872567
mPanTro3	mPanTro3_numt113	NUMT_59bp_85%	-::chr13_hap1_hsa2b:31878269-31878328
mPanTro3	mPanTro3_numt114	NUMT_1554bp_76%,NUMT_5255bp_77%,NUMT_6813bp_76%	-::chr13_hap1_hsa2b:31878396-31885209
mPanTro3	mPanTro3_numt115	NUMT_143bp_76%	-::chr13_hap1_hsa2b:31885236-31885379
mPanTro3	mPanTro3_numt116	NUMT_11569bp_77%,NUMT_5160bp_77%,NUMT_6405bp_76%	-::chr13_hap1_hsa2b:32318119-32329688
mPanTro3	mPanTro3_numt117	NUMT_143bp_74%	-::chr13_hap1_hsa2b:32331035-32331178
mPanTro3	mPanTro3_numt118	NUMT_81bp_83%	+::chr13_hap1_hsa2b:34476815-34476896
mPanTro3	mPanTro3_numt119	NUMT_163bp_76%	+::chr13_hap1_hsa2b:36572050-36572213
mPanTro3	mPanTro3_numt120	NUMT_974bp_77%	-::chr13_hap1_hsa2b:42269612-42270586
mPanTro3	mPanTro3_numt121	NUMT_4552bp_77%,NUMT_4554bp_77%	-::chr13_hap1_hsa2b:42272278-42276832
mPanTro3	mPanTro3_numt122	NUMT_335bp_75%	-::chr13_hap1_hsa2b:42277515-42277850
mPanTro3	mPanTro3_numt123	NUMT_216bp_78%	-::chr13_hap1_hsa2b:45140205-45140421
mPanTro3	mPanTro3_numt124	NUMT_1582bp_80%,NUMT_1584bp_80%	-::chr13_hap1_hsa2b:45141546-45143130
mPanTro3	mPanTro3_numt125	NUMT_3303bp_72%,NUMT_3438bp_75%	-::chr13_hap1_hsa2b:45143822-45150563
mPanTro3	mPanTro3_numt126	NUMT_1179bp_70%,NUMT_2000bp_72%,NUMT_817bp_76%	-::chr13_hap1_hsa2b:45150842-45152842
mPanTro3	mPanTro3_numt127	NUMT_86bp_86%	+::chr13_hap1_hsa2b:49306883-49306969
mPanTro3	mPanTro3_numt128	NUMT_60bp_95%	-::chr13_hap1_hsa2b:50556377-50556437
mPanTro3	mPanTro3_numt129	NUMT_1350bp_83%	-::chr13_hap1_hsa2b:57293962-57295312
mPanTro3	mPanTro3_numt130	NUMT_3291bp_73%	+::chr13_hap1_hsa2b:57341592-57344883
mPanTro3	mPanTro3_numt131	NUMT_248bp_85%	+::chr13_hap1_hsa2b:68441532-68441780
mPanTro3	mPanTro3_numt132	NUMT_150bp_84%	+::chr13_hap1_hsa2b:76818266-76818416
mPanTro3	mPanTro3_numt133	NUMT_432bp_80%	-::chr13_hap1_hsa2b:81771675-81772107
mPanTro3	mPanTro3_numt134	NUMT_168bp_72%	-::chr13_hap1_hsa2b:85534107-85534275
mPanTro3	mPanTro3_numt135	NUMT_65bp_82%	+::chr13_hap1_hsa2b:98442610-98442675
mPanTro3	mPanTro3_numt136	NUMT_2688bp_77%	-::chr13_hap1_hsa2b:103244904-103247592
mPanTro3	mPanTro3_numt137	NUMT_2245bp_66%	+::chr13_hap1_hsa2b:103582160-103584405
mPanTro3	mPanTro3_numt138	NUMT_701bp_66%	+::chr13_hap1_hsa2b:103584700-103585401
mPanTro3	mPanTro3_numt139	NUMT_1007bp_70%	+::chr13_hap1_hsa2b:103586268-103587275
mPanTro3	mPanTro3_numt140	NUMT_1998bp_74%,NUMT_2050bp_76%,NUMT_4051bp_75%	+::chr13_hap1_hsa2b:104650511-104654562
mPanTro3	mPanTro3_numt141	NUMT_246bp_75%	+::chr13_hap1_hsa2b:104654918-104655164
mPanTro3	mPanTro3_numt142	NUMT_95bp_75%	-::chr13_hap1_hsa2b:104655175-104655270
mPanTro3	mPanTro3_numt143	NUMT_201bp_76%	-::chr13_hap1_hsa2b:104655275-104655476
mPanTro3	mPanTro3_numt144	NUMT_848bp_78%	-::chr13_hap1_hsa2b:104655481-104656329
mPanTro3	mPanTro3_numt145	NUMT_1998bp_74%,NUMT_2054bp_76%,NUMT_4055bp_75%	+::chr13_hap1_hsa2b:104846923-104850978
mPanTro3	mPanTro3_numt146	NUMT_246bp_75%	+::chr13_hap1_hsa2b:104851334-104851580
mPanTro3	mPanTro3_numt147	NUMT_95bp_75%	-::chr13_hap1_hsa2b:104851591-104851686
mPanTro3	mPanTro3_numt148	NUMT_201bp_76%	-::chr13_hap1_hsa2b:104851691-104851892
mPanTro3	mPanTro3_numt149	NUMT_848bp_78%	-::chr13_hap1_hsa2b:104851897-104852745
mPanTro3	mPanTro3_numt150	NUMT_297bp_78%	-::chr13_hap1_hsa2b:114016451-114016748
mPanTro3	mPanTro3_numt151	NUMT_2209bp_79%,NUMT_2230bp_79%	-::chr13_hap1_hsa2b:114017052-114019282
mPanTro3	mPanTro3_numt152	NUMT_2800bp_76%	+::chr13_hap1_hsa2b:114019848-114022648
mPanTro3	mPanTro3_numt153	NUMT_170bp_95%	+::chr13_hap1_hsa2b:115166125-115166295
mPanTro3	mPanTro3_numt154	NUMT_84bp_76%	-::chr13_hap1_hsa2b:118078329-118078413
mPanTro3	mPanTro3_numt155	NUMT_120bp_76%	+::chr13_hap1_hsa2b:119142097-119142217
mPanTro3	mPanTro3_numt156	NUMT_58bp_85%	-::chr13_hap1_hsa2b:119834576-119834634
mPanTro3	mPanTro3_numt157	NUMT_191bp_98%	-::chr13_hap1_hsa2b:121305161-121305352
mPanTro3	mPanTro3_numt158	NUMT_448bp_76%	-::chr13_hap1_hsa2b:122302993-122303441
mPanTro3	mPanTro3_numt159	NUMT_96bp_96%	+::chr13_hap1_hsa2b:126500127-126500223
mPanTro3	mPanTro3_numt160	NUMT_94bp_85%	+::chr13_hap1_hsa2b:128663004-128663098
mPanTro3	mPanTro3_numt161	NUMT_156bp_92%	+::chr13_hap1_hsa2b:128964053-128964209
mPanTro3	mPanTro3_numt162	NUMT_176bp_76%	+::chr13_hap1_hsa2b:131266264-131266440
mPanTro3	mPanTro3_numt163	NUMT_355bp_100%	-::chr13_hap1_hsa2b:134083742-134084097
mPanTro3	mPanTro3_numt164	NUMT_406bp_99%	+::chr13_hap1_hsa2b:134084098-134084504
mPanTro3	mPanTro3_numt165	NUMT_67bp_100%	-::chr13_hap1_hsa2b:136275568-136275635
mPanTro3	mPanTro3_numt166	NUMT_257bp_80%	+::chr13_hap1_hsa2b:137629457-137629714
mPanTro3	mPanTro3_numt167	NUMT_1173bp_72%	-::chr13_hap1_hsa2b:139694104-139695277
mPanTro3	mPanTro3_numt168	NUMT_1281bp_72%	-::chr13_hap1_hsa2b:139695356-139696637
mPanTro3	mPanTro3_numt169	NUMT_279bp_74%	-::chr13_hap1_hsa2b:139696647-139696926
mPanTro3	mPanTro3_numt170	NUMT_947bp_75%	-::chr14_hap1_hsa13:194900-195847
mPanTro3	mPanTro3_numt171	NUMT_1336bp_75%	+::chr14_hap1_hsa13:195867-197203
mPanTro3	mPanTro3_numt172	NUMT_515bp_83%	+::chr14_hap1_hsa13:197276-197791
mPanTro3	mPanTro3_numt173	NUMT_952bp_74%	-::chr14_hap1_hsa13:4201352-4202304
mPanTro3	mPanTro3_numt174	NUMT_1336bp_76%	+::chr14_hap1_hsa13:4202324-4203660
mPanTro3	mPanTro3_numt175	NUMT_516bp_84%	+::chr14_hap1_hsa13:4203733-4204249
mPanTro3	mPanTro3_numt176	NUMT_1574bp_94%,NUMT_1600bp_93%,NUMT_3175bp_93%	+::chr14_hap1_hsa13:4612461-4615636
mPanTro3	mPanTro3_numt177	NUMT_516bp_84%	-::chr14_hap1_hsa13:9812914-9813430
mPanTro3	mPanTro3_numt178	NUMT_1336bp_76%	-::chr14_hap1_hsa13:9813503-9814839
mPanTro3	mPanTro3_numt179	NUMT_952bp_74%	+::chr14_hap1_hsa13:9814859-9815811
mPanTro3	mPanTro3_numt180	NUMT_69bp_99%	+::chr14_hap1_hsa13:18956999-18957068
mPanTro3	mPanTro3_numt181	NUMT_125bp_81%	-::chr14_hap1_hsa13:21294046-21294171
mPanTro3	mPanTro3_numt182	NUMT_118bp_82%	-::chr14_hap1_hsa13:22952521-22952639
mPanTro3	mPanTro3_numt183	NUMT_207bp_87%	+::chr14_hap1_hsa13:35175325-35175532
mPanTro3	mPanTro3_numt184	NUMT_285bp_77%	-::chr14_hap1_hsa13:53175373-53175658
mPanTro3	mPanTro3_numt185	NUMT_170bp_72%	+::chr14_hap1_hsa13:55580435-55580605
mPanTro3	mPanTro3_numt186	NUMT_164bp_78%	+::chr14_hap1_hsa13:59385490-59385654
mPanTro3	mPanTro3_numt187	NUMT_173bp_89%	+::chr14_hap1_hsa13:62160927-62161100
mPanTro3	mPanTro3_numt188	NUMT_308bp_69%	+::chr14_hap1_hsa13:62877908-62878216
mPanTro3	mPanTro3_numt189	NUMT_534bp_66%	-::chr14_hap1_hsa13:74398137-74398671
mPanTro3	mPanTro3_numt190	NUMT_168bp_86%	-::chr14_hap1_hsa13:81278648-81278816
mPanTro3	mPanTro3_numt191	NUMT_1878bp_70%	+::chr14_hap1_hsa13:90185509-90187387
mPanTro3	mPanTro3_numt192	NUMT_1542bp_70%	+::chr14_hap1_hsa13:90187776-90189318
mPanTro3	mPanTro3_numt193	NUMT_553bp_73%	+::chr14_hap1_hsa13:94213541-94214094
mPanTro3	mPanTro3_numt194	NUMT_287bp_78%	+::chr14_hap1_hsa13:101302052-101302339
mPanTro3	mPanTro3_numt195	NUMT_474bp_72%	+::chr14_hap1_hsa13:101302630-101303104
mPanTro3	mPanTro3_numt196	NUMT_2833bp_71%	+::chr14_hap1_hsa13:101303207-101306040
mPanTro3	mPanTro3_numt197	NUMT_147bp_84%	+::chr14_hap1_hsa13:102295004-102295151
mPanTro3	mPanTro3_numt198	NUMT_187bp_98%	-::chr14_hap1_hsa13:117609446-117609633
mPanTro3	mPanTro3_numt199	NUMT_1574bp_94%,NUMT_1600bp_93%,NUMT_3175bp_93%	+::chr15_hap1_hsa14:8453633-8456808
mPanTro3	mPanTro3_numt200	NUMT_953bp_74%	-::chr15_hap1_hsa14:12798012-12798965
mPanTro3	mPanTro3_numt201	NUMT_1336bp_75%	+::chr15_hap1_hsa14:12798985-12800321
mPanTro3	mPanTro3_numt202	NUMT_516bp_84%	+::chr15_hap1_hsa14:12800394-12800910
mPanTro3	mPanTro3_numt203	NUMT_84bp_95%	+::chr15_hap1_hsa14:19589472-19589556
mPanTro3	mPanTro3_numt204	NUMT_67bp_91%	-::chr15_hap1_hsa14:21797401-21797468
mPanTro3	mPanTro3_numt205	NUMT_69bp_100%	+::chr15_hap1_hsa14:23772635-23772704
mPanTro3	mPanTro3_numt206	NUMT_303bp_94%	-::chr15_hap1_hsa14:42021331-42021634
mPanTro3	mPanTro3_numt207	NUMT_408bp_79%,NUMT_411bp_79%	-::chr15_hap1_hsa14:49602624-49603035
mPanTro3	mPanTro3_numt208	NUMT_1774bp_77%,NUMT_1780bp_77%	-::chr15_hap1_hsa14:81559492-81561272
mPanTro3	mPanTro3_numt209	NUMT_1495bp_81%	+::chr15_hap1_hsa14:82136884-82138379
mPanTro3	mPanTro3_numt210	NUMT_978bp_73%	+::chr15_hap1_hsa14:82138384-82139362
mPanTro3	mPanTro3_numt211	NUMT_1889bp_73%	+::chr15_hap1_hsa14:82139368-82141257
mPanTro3	mPanTro3_numt212	NUMT_992bp_76%	+::chr15_hap1_hsa14:82141658-82142650
mPanTro3	mPanTro3_numt213	NUMT_114bp_81%	+::chr15_hap1_hsa14:93195132-93195246
mPanTro3	mPanTro3_numt214	NUMT_1570bp_94%,NUMT_1591bp_92%,NUMT_3162bp_93%	-::chr16_hap1_hsa15:18759160-18762322
mPanTro3	mPanTro3_numt215	NUMT_154bp_81%	-::chr16_hap1_hsa15:22613733-22613887
mPanTro3	mPanTro3_numt216	NUMT_733bp_79%	-::chr16_hap1_hsa15:22613954-22614687
mPanTro3	mPanTro3_numt217	NUMT_1338bp_76%	+::chr16_hap1_hsa15:22614707-22616045
mPanTro3	mPanTro3_numt218	NUMT_517bp_84%	+::chr16_hap1_hsa15:22616117-22616634
mPanTro3	mPanTro3_numt219	NUMT_396bp_78%	+::chr16_hap1_hsa15:26327728-26328124
mPanTro3	mPanTro3_numt220	NUMT_399bp_79%	+::chr16_hap1_hsa15:26472041-26472440
mPanTro3	mPanTro3_numt221	NUMT_184bp_76%	+::chr16_hap1_hsa15:27340269-27340453
mPanTro3	mPanTro3_numt222	NUMT_1445bp_76%	-::chr16_hap1_hsa15:32094891-32096336
mPanTro3	mPanTro3_numt223	NUMT_125bp_83%	-::chr16_hap1_hsa15:33127882-33128007
mPanTro3	mPanTro3_numt224	NUMT_45bp_93%	-::chr16_hap1_hsa15:36218896-36218941
mPanTro3	mPanTro3_numt225	NUMT_217bp_78%	+::chr16_hap1_hsa15:38334792-38335009
mPanTro3	mPanTro3_numt226	NUMT_87bp_80%	-::chr16_hap1_hsa15:40460857-40460944
mPanTro3	mPanTro3_numt227	NUMT_64bp_95%	+::chr16_hap1_hsa15:44705835-44705899
mPanTro3	mPanTro3_numt228	NUMT_58bp_90%	-::chr16_hap1_hsa15:49800976-49801034
mPanTro3	mPanTro3_numt229	NUMT_1370bp_74%	+::chr16_hap1_hsa15:50165934-50167304
mPanTro3	mPanTro3_numt230	NUMT_4744bp_74%	+::chr16_hap1_hsa15:50167313-50172057
mPanTro3	mPanTro3_numt231	NUMT_82bp_96%	+::chr16_hap1_hsa15:56203667-56203749
mPanTro3	mPanTro3_numt232	NUMT_42bp_93%	+::chr16_hap1_hsa15:59035188-59035230
mPanTro3	mPanTro3_numt233	NUMT_193bp_99%	-::chr16_hap1_hsa15:74114399-74114592
mPanTro3	mPanTro3_numt234	NUMT_67bp_88%	-::chr17_hap1_hsa18:16769523-16769590
mPanTro3	mPanTro3_numt235	NUMT_70bp_82%	-::chr17_hap1_hsa18:38503247-38503317
mPanTro3	mPanTro3_numt236	NUMT_58bp_86%	+::chr17_hap1_hsa18:44416377-44416435
mPanTro3	mPanTro3_numt237	NUMT_350bp_75%	+::chr17_hap1_hsa18:60734698-60735048
mPanTro3	mPanTro3_numt238	NUMT_66bp_84%	-::chr17_hap1_hsa18:65076573-65076639
mPanTro3	mPanTro3_numt239	NUMT_312bp_83%	-::chr17_hap1_hsa18:71920995-71921307
mPanTro3	mPanTro3_numt240	NUMT_166bp_76%	-::chr17_hap1_hsa18:74186266-74186432
mPanTro3	mPanTro3_numt241	NUMT_46bp_87%	+::chr17_hap1_hsa18:77773011-77773057
mPanTro3	mPanTro3_numt242	NUMT_63bp_92%	-::chr17_hap1_hsa18:82444658-82444721
mPanTro3	mPanTro3_numt243	NUMT_1809bp_78%	-::chr18_hap1_hsa16:6018174-6019983
mPanTro3	mPanTro3_numt244	NUMT_1788bp_77%	-::chr18_hap1_hsa16:6020279-6022067
mPanTro3	mPanTro3_numt245	NUMT_616bp_80%	-::chr18_hap1_hsa16:6022394-6023010
mPanTro3	mPanTro3_numt246	NUMT_103bp_84%	-::chr18_hap1_hsa16:6023312-6023415
mPanTro3	mPanTro3_numt247	NUMT_1631bp_74%,NUMT_459bp_76%,NUMT_4832bp_75%,NUMT_5295bp_75%	-::chr18_hap1_hsa16:13363480-13370404
mPanTro3	mPanTro3_numt248	NUMT_180bp_75%	+::chr18_hap1_hsa16:16271532-16271712
mPanTro3	mPanTro3_numt249	NUMT_88bp_80%	+::chr18_hap1_hsa16:16633941-16634029
mPanTro3	mPanTro3_numt250	NUMT_115bp_96%,NUMT_69bp_97%	+,-::chr18_hap1_hsa16:17198462-17198646
mPanTro3	mPanTro3_numt251	NUMT_1415bp_75%	-::chr18_hap1_hsa16:23290347-23291762
