Query_Species	NUMT	NUMT_info	Loci	DB_Species	Matches	Counts
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307	HG01358	['+::HG01358#1#CM089061.1:7665713-7666818']	1
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307	HG02572	['+::HG02572#1#CM088161.1:7663809-7664908']	1
mPanTro3	mPanTro3_numt5	NUMT_100bp_80%	-::chr10_hap1_hsa12:14812207-14812307	HG04184	['+::HG04184#1#CM086465.1:7728920-7730025']	1
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824	HG002	['+::HG002#1#chr12:9296814-9298098']	1
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824	HG00597	['+::HG00597#1#JBHDUU010000046.1:9304552-9305836']	1
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824	HG01358	['+::HG01358#1#CM089061.1:9318024-9319308']	1
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824	HG02572	['+::HG02572#1#CM088161.1:9405097-9406381']	1
mPanTro3	mPanTro3_numt6	NUMT_275bp_71%	-::chr10_hap1_hsa12:16598549-16598824	HG04184	['+::HG04184#1#CM086465.1:9374444-9375728']	1
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155	HG002	['+::HG002#1#chr12:62947543-62948608']	1
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155	HG00597	['+::HG00597#1#JBHDUU010000046.1:62288317-62289383']	1
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155	HG01358	['+::HG01358#1#CM089061.1:62011665-62012730']	1
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155	HG02572	['+::HG02572#1#CM088161.1:62617160-62618225']	1
mPanTro3	mPanTro3_numt8	NUMT_67bp_94%	-::chr10_hap1_hsa12:33271088-33271155	HG04184	['+::HG04184#1#CM086465.1:62994805-62995871']	1
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841	HG002	['+::HG002#1#chr12:49991768-49992930']	1
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841	HG00597	['+::HG00597#1#JBHDUU010000046.1:49324291-49325453']	1
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841	HG01358	['+::HG01358#1#CM089061.1:49043066-49044228']	1
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841	HG02572	['+::HG02572#1#CM088161.1:49641440-49642602']	1
mPanTro3	mPanTro3_numt10	NUMT_163bp_85%	-::chr10_hap1_hsa12:46050678-46050841	HG04184	['+::HG04184#1#CM086465.1:50021960-50023122']	1
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895	HG002	['+::HG002#1#chr12:41883511-41886179']	1
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895	HG00597	['+::HG00597#1#JBHDUU010000046.1:41207436-41210104']	1
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895	HG01358	['+::HG01358#1#CM089061.1:40923047-40925715']	1
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895	HG02572	['+::HG02572#1#CM088161.1:41527811-41530479']	1
mPanTro3	mPanTro3_numt11	NUMT_1678bp_72%	+::chr10_hap1_hsa12:54154217-54155895	HG04184	['+::HG04184#1#CM086465.1:41901726-41904394']	1
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370	HG002	['+::HG002#1#chr12:41137634-41138718']	1
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370	HG00597	['+::HG00597#1#JBHDUU010000046.1:40461251-40462335']	1
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370	HG01358	['+::HG01358#1#CM089061.1:40177117-40178195']	1
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370	HG02572	['+::HG02572#1#CM088161.1:40782071-40783155']	1
mPanTro3	mPanTro3_numt12	NUMT_81bp_77%	+::chr10_hap1_hsa12:54912289-54912370	HG04184	['+::HG04184#1#CM086465.1:41155839-41156917']	1
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006	HG002	['+::HG002#1#chr12:40464675-40466048']	1
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006	HG00597	['+::HG00597#1#JBHDUU010000046.1:39789876-39791249']	1
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006	HG01358	['+::HG01358#1#CM089061.1:39511820-39513193']	1
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006	HG02572	['+::HG02572#1#CM088161.1:40116368-40117741']	1
mPanTro3	mPanTro3_numt13	NUMT_373bp_80%	-::chr10_hap1_hsa12:55588633-55589006	HG04184	['+::HG04184#1#CM086465.1:40484232-40485605']	1
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717	HG002	['+::HG002#1#chr12:31147559-31149555']	1
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717	HG00597	['+::HG00597#1#JBHDUU010000046.1:31273010-31275006']	1
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717	HG01358	['+::HG01358#1#CM089061.1:31275387-31277383']	1
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717	HG02572	['+::HG02572#1#CM088161.1:31349518-31351514']	1
mPanTro3	mPanTro3_numt14	NUMT_1095bp_71%	-::chr10_hap1_hsa12:64257622-64258717	HG04184	['+::HG04184#1#CM086465.1:31341651-31343647']	1
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547	HG002	['+::HG002#1#chr12:30914652-30916015']	1
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547	HG00597	['+::HG00597#1#JBHDUU010000046.1:31036824-31038187']	1
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547	HG01358	['+::HG01358#1#CM089061.1:31042653-31044016']	1
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547	HG02572	['+::HG02572#1#CM088161.1:31114872-31116235']	1
mPanTro3	mPanTro3_numt16	NUMT_363bp_66%	-::chr10_hap1_hsa12:64505184-64505547	HG04184	['+::HG04184#1#CM086465.1:31108682-31110045']	1
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485	HG002	['+::HG002#1#chr12:26462839-26464076']	1
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485	HG00597	['+::HG00597#1#JBHDUU010000046.1:26587786-26589023']	1
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485	HG01358	['+::HG01358#1#CM089061.1:26603101-26604337']	1
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485	HG02572	['+::HG02572#1#CM088161.1:26662045-26663282']	1
mPanTro3	mPanTro3_numt17	NUMT_224bp_81%	+::chr10_hap1_hsa12:68972261-68972485	HG04184	['+::HG04184#1#CM086465.1:26665636-26666873']	1
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791	HG002	['+::HG002#1#chr12:21897423-21898510']	1
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791	HG00597	['+::HG00597#1#JBHDUU010000046.1:22025403-22026494']	1
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791	HG01358	['+::HG01358#1#CM089061.1:22040936-22042027']	1
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791	HG02572	['+::HG02572#1#CM088161.1:22092753-22093841']	1
mPanTro3	mPanTro3_numt18	NUMT_99bp_87%	-::chr10_hap1_hsa12:73521692-73521791	HG04184	['+::HG04184#1#CM086465.1:22099526-22100617']	1
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055	HG002	['+::HG002#1#chr17:57583557-57584626']	1
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055	HG00597	['+::HG00597#1#JBHDUU010000049.1:48617615-48618665', '+::HG00597#1#JBHDUU010000052.1:30742988-30744057']	2
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055	HG01358	['+::HG01358#1#JAGYZB020000004.1:36651127-36652196']	1
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055	HG02572	['+::HG02572#1#CM088162.1:32789865-32790911', '+::HG02572#1#CM088164.1:56419938-56421007']	2
mPanTro3	mPanTro3_numt19	NUMT_69bp_94%	+::chr10_hap1_hsa12:79277986-79278055	HG04184	['+::HG04184#1#JBHDSH010000004.1:48722165-48723215', '+::HG04184#1#JBHDSH010000009.1:9624024-9625093', '+::HG04184#1#JBHDSH010000063.1:3584049-3584956', '+::HG04184#1#JBHDSH010000074.1:65272-66179', '+::HG04184#1#JBHDSH010000082.1:67299-68300']	5
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095	HG002	['+::HG002#1#chr12:108390251-108391602']	1
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095	HG00597	['+::HG00597#1#JBHDUU010000046.1:107702880-107704231']	1
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095	HG01358	['+::HG01358#1#CM089061.1:107406119-107407470']	1
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095	HG02572	['+::HG02572#1#CM088161.1:108051883-108053234']	1
mPanTro3	mPanTro3_numt21	NUMT_352bp_72%	+::chr10_hap1_hsa12:114986743-114987095	HG04184	['+::HG04184#1#CM086465.1:108413020-108414371']	1
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017	HG002	['+::HG002#1#chr12:114395564-114396628']	1
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017	HG00597	['+::HG00597#1#JBHDUU010000046.1:113707934-113708997']	1
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017	HG01358	['+::HG01358#1#CM089061.1:113411736-113412799']	1
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017	HG02572	['+::HG02572#1#CM088161.1:114059743-114060806']	1
mPanTro3	mPanTro3_numt22	NUMT_62bp_81%	-::chr10_hap1_hsa12:120995955-120996017	HG04184	['+::HG04184#1#CM086465.1:114419401-114420465']	1
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896	HG002	['+::HG002#1#chr12:124547845-124548979']	1
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896	HG00597	['+::HG00597#1#JBHDUU010000046.1:123868661-123869795']	1
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896	HG01358	['+::HG01358#1#CM089061.1:123564794-123565928']	1
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896	HG02572	['+::HG02572#1#CM088161.1:124217225-124218359']	1
mPanTro3	mPanTro3_numt23	NUMT_137bp_78%	+::chr10_hap1_hsa12:131136759-131136896	HG04184	['+::HG04184#1#CM086465.1:124569407-124570541']	1
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665	HG002	['+::HG002#1#chr12:130570050-130571253']	1
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665	HG00597	['+::HG00597#1#JBHDUU010000046.1:129904492-129905695']	1
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665	HG01358	['+::HG01358#1#CM089061.1:129604180-129605383']	1
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665	HG02572	['+::HG02572#1#CM088161.1:130254970-130256173']	1
mPanTro3	mPanTro3_numt25	NUMT_204bp_83%	-::chr10_hap1_hsa12:137119461-137119665	HG04184	['+::HG04184#1#CM086465.1:130648333-130649536']	1
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919	HG002	['+::HG002#1#chr9:126459516-126460632']	1
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919	HG00597	['+::HG00597#1#CM085772.1:128845113-128846229']	1
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919	HG01358	['+::HG01358#1#CM089058.1:135643140-135644256']	1
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919	HG02572	['+::HG02572#1#CM088158.1:134365789-134366905']	1
mPanTro3	mPanTro3_numt26	NUMT_116bp_78%	+::chr11_hap1_hsa9:4986803-4986919	HG04184	['+::HG04184#1#CM086462.1:135943471-135944587']	1
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676	HG002	['+::HG002#1#chr9:122889426-122890497']	1
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676	HG00597	['+::HG00597#1#CM085772.1:125291025-125292096']	1
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676	HG01358	['+::HG01358#1#CM089058.1:132093061-132094132']	1
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676	HG02572	['+::HG02572#1#CM088158.1:130818660-130819731']	1
mPanTro3	mPanTro3_numt27	NUMT_74bp_89%	-::chr11_hap1_hsa9:8576602-8576676	HG04184	['+::HG04184#1#CM086462.1:132397030-132398101']	1
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568	HG002	['+::HG002#1#chr9:119557029-119558110']	1
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568	HG00597	['+::HG00597#1#CM085772.1:121967211-121968292']	1
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568	HG01358	['+::HG01358#1#CM089058.1:128761860-128762941']	1
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568	HG02572	['+::HG02572#1#CM088158.1:127487160-127488241']	1
mPanTro3	mPanTro3_numt28	NUMT_81bp_80%	+::chr11_hap1_hsa9:11910487-11910568	HG04184	['+::HG04184#1#CM086462.1:129069762-129070843']	1
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829	HG002	['+::HG002#1#chr9:104624718-104625887']	1
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829	HG00597	['+::HG00597#1#CM085772.1:107057359-107058528']	1
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829	HG01358	['+::HG01358#1#CM089058.1:113825370-113826539']	1
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829	HG02572	['+::HG02572#1#CM088158.1:112492159-112493328']	1
mPanTro3	mPanTro3_numt29	NUMT_169bp_78%	+::chr11_hap1_hsa9:26842660-26842829	HG04184	['+::HG04184#1#CM086462.1:114143103-114144272']	1
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624	HG002	['+::HG002#1#chr9:102290907-102292148']	1
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624	HG00597	['+::HG00597#1#CM085772.1:104724866-104726107']	1
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624	HG01358	['+::HG01358#1#CM089058.1:111493427-111494668']	1
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624	HG02572	['+::HG02572#1#CM088158.1:110157880-110159121']	1
mPanTro3	mPanTro3_numt30	NUMT_240bp_75%	-::chr11_hap1_hsa9:29154384-29154624	HG04184	['+::HG04184#1#CM086462.1:111810233-111811474']	1
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090	HG002	['+::HG002#1#chr9:96054986-96056194']	1
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090	HG00597	['+::HG00597#1#CM085772.1:98485247-98486439']	1
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090	HG01358	['+::HG01358#1#CM089058.1:105261269-105262461']	1
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090	HG02572	['+::HG02572#1#CM088158.1:103933227-103934438']	1
mPanTro3	mPanTro3_numt31	NUMT_203bp_73%	-::chr11_hap1_hsa9:35356887-35357090	HG04184	['+::HG04184#1#CM086462.1:105578231-105579423']	1
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647	HG002	['+::HG002#1#chr9:94779155-94780569']	1
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647	HG00597	['+::HG00597#1#CM085772.1:97211683-97213097']	1
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647	HG01358	['+::HG01358#1#CM089058.1:103993835-103995253']	1
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647	HG02572	['+::HG02572#1#CM088158.1:102660898-102662308']	1
mPanTro3	mPanTro3_numt32	NUMT_409bp_77%	+::chr11_hap1_hsa9:36619238-36619647	HG04184	['+::HG04184#1#CM086462.1:104302946-104304356']	1
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038	HG002	['+::HG002#1#chr9:88855114-88856159']	1
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038	HG00597	['+::HG00597#1#CM085772.1:91293855-91294900']	1
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038	HG01358	['+::HG01358#1#CM089058.1:98194586-98195631']	1
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038	HG02572	['+::HG02572#1#CM088158.1:96742742-96743787']	1
mPanTro3	mPanTro3_numt33	NUMT_51bp_88%	-::chr11_hap1_hsa9:42633987-42634038	HG04184	['+::HG04184#1#CM086462.1:98376475-98377520']	1
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655	HG002	['+::HG002#1#chr9:85513317-85514924']	1
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655	HG00597	['+::HG00597#1#CM085772.1:87954660-87956267']	1
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655	HG01358	['+::HG01358#1#CM089058.1:94855633-94857240']	1
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655	HG02572	['+::HG02572#1#CM088158.1:93401231-93402838']	1
mPanTro3	mPanTro3_numt34	NUMT_619bp_79%	+::chr11_hap1_hsa9:45891036-45891655	HG04184	['+::HG04184#1#CM086462.1:95039803-95041410']	1
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901	HG002	['+::HG002#1#chr9:85083157-85084965']	1
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901	HG00597	['+::HG00597#1#CM085772.1:87524497-87526305']	1
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901	HG01358	['+::HG01358#1#CM089058.1:94425394-94427202']	1
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901	HG02572	['+::HG02572#1#CM088158.1:92970769-92972577']	1
mPanTro3	mPanTro3_numt35	NUMT_813bp_77%	+::chr11_hap1_hsa9:46276088-46276901	HG04184	['+::HG04184#1#CM086462.1:94609329-94611137']	1
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979	HG002	['+::HG002#1#chr9:85084263-85087041']	1
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979	HG00597	['+::HG00597#1#CM085772.1:87525603-87528381']	1
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979	HG01358	['+::HG01358#1#CM089058.1:94426500-94429278']	1
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979	HG02572	['+::HG02572#1#CM088158.1:92971875-92974653']	1
mPanTro3	mPanTro3_numt36	NUMT_1780bp_74%	+::chr11_hap1_hsa9:46277199-46278979	HG04184	['+::HG04184#1#CM086462.1:94610435-94613213']	1
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726	HG002	['+::HG002#1#chr9:85084262-85087040']	1
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726	HG00597	['+::HG00597#1#CM085772.1:87525602-87528380']	1
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726	HG01358	['+::HG01358#1#CM089058.1:94426499-94429277']	1
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726	HG02572	['+::HG02572#1#CM088158.1:92971874-92974652']	1
mPanTro3	mPanTro3_numt37	NUMT_1780bp_74%	-::chr11_hap1_hsa9:46381946-46383726	HG04184	['+::HG04184#1#CM086462.1:94610434-94613212']	1
